140_temperature,140_humidity,140_pressure,140_pm1,140_pm25,140_pm10,169_temperature,169_humidity,169_pressure,169_pm1,169_pm25,169_pm10
6,92,101906,72,68,104,6,89,101877,47,45,71
6,92,101869,74,70,107,6,89,101842,44,43,70
5,94,101837,63,58,98,5,91,101812,50,49,75
5,92,101834,56,52,93,4,88,101814,53,52,78
4,94,101832,52,49,89,4,91,101806,45,44,71
5,94,101833,49,47,86,5,94,101805,46,45,70
9,78,101842,55,50,90,10,81,101809,36,34,58
11,66,101831,47,44,80,13,70,101796,28,26,46
15,50,101798,35,33,60,16,54,101754,21,18,32
17,42,101745,22,18,33,18,46,101715,15,13,21
19,39,101701,15,11,20,18,42,101674,13,11,18
20,35,101651,15,11,20,20,36,101612,13,11,18
21,30,101580,15,12,21,21,31,101532,12,11,17
23,32,101507,18,14,24,21,32,101438,12,10,16
24,33,101443,12,9,16,21,34,101357,12,10,16
23,32,101395,12,9,16,21,33,101312,11,9,15
21,33,101383,13,9,17,20,35,101310,11,9,15
19,34,101403,20,16,28,18,37,101332,17,15,25
16,48,101447,28,24,45,15,51,101380,43,42,65
14,48,101481,33,30,55,13,50,101419,45,45,68
12,54,101498,27,23,42,12,55,101439,33,32,55
11,62,101525,36,33,61,10,62,101473,31,30,51
9,66,101554,35,32,58,8,66,101509,25,23,40
8,76,101559,59,54,90,7,74,101520,24,22,38
7,77,101540,64,60,96,7,75,101509,24,21,36
6,88,101528,59,54,92,5,85,101497,22,19,32
5,86,101524,51,48,86,5,84,101498,28,26,44
6,85,101523,43,41,75,5,83,101497,24,22,37
5,88,101546,40,38,68,4,86,101526,25,23,39
7,81,101608,35,31,57,7,81,101571,25,23,39
10,72,101635,32,28,51,11,75,101605,22,19,33
16,47,101654,21,17,30,17,51,101616,20,18,30
19,38,101670,16,13,22,19,41,101626,16,14,22
21,30,101678,18,14,24,21,33,101624,17,14,23
22,29,101669,22,17,29,22,32,101597,18,15,25
22,31,101656,23,19,33,22,33,101577,21,18,30
23,29,101646,25,20,38,22,31,101559,21,18,31
24,29,101648,24,20,37,23,30,101552,23,20,35
25,28,101653,23,18,35,23,31,101548,28,25,43
23,29,101673,23,18,33,23,32,101577,27,25,43
22,31,101695,22,18,31,21,34,101611,23,21,36
19,34,101743,27,22,41,18,37,101665,20,18,29
16,44,101810,31,27,50,16,46,101740,23,21,35
15,50,101863,35,32,59,14,51,101792,29,27,46
13,57,101903,39,36,66,12,58,101840,30,28,48
11,61,101969,45,42,77,11,63,101905,31,30,51
12,69,102029,38,35,65,11,68,101969,33,32,53
11,76,102068,38,36,67,11,75,102015,30,29,49
10,83,102107,39,37,68,10,81,102066,28,26,45
10,83,102141,44,43,78,9,82,102099,28,26,46
8,88,102156,49,47,85,8,87,102114,31,30,51
7,90,102171,54,50,90,8,90,102132,33,33,56
7,93,102186,57,52,93,7,93,102156,35,35,60
8,92,102242,41,39,72,8,92,102201,35,34,58
10,79,102295,29,26,48,11,80,102263,26,24,42
12,68,102326,22,17,31,13,69,102291,20,18,32
13,66,102322,19,15,27,13,67,102285,15,14,22
15,55,102304,18,14,25,15,61,102257,14,12,20
17,49,102282,16,12,22,16,60,102228,15,13,22
18,47,102263,15,12,22,16,50,102202,16,14,23
17,49,102223,16,13,23,16,49,102159,13,12,20
17,49,102200,13,10,17,16,49,102134,10,8,14
16,50,102212,13,9,17,15,50,102141,13,11,19
15,53,102254,17,14,24,14,53,102184,15,13,22
12,65,102300,17,13,24,12,66,102249,21,19,32
11,66,102341,18,14,25,11,66,102294,20,19,32
10,71,102367,18,14,26,10,71,102325,20,18,30
10,71,102358,20,16,28,10,71,102331,20,18,30
9,74,102346,22,18,32,10,75,102315,22,20,35
9,74,102333,20,17,30,9,76,102309,23,20,35
8,79,102299,21,17,30,9,80,102272,20,18,29
8,80,102273,24,19,34,8,80,102249,20,18,29
7,85,102230,26,21,38,7,85,102206,21,19,31
7,88,102184,28,24,43,7,86,102165,23,21,36
7,88,102149,30,27,48,7,86,102136,25,23,40
7,87,102161,32,29,54,7,86,102146,25,23,39
6,90,102177,37,35,64,7,89,102168,26,25,44
7,90,102186,37,35,65,8,91,102172,25,23,41
9,86,102188,37,35,64,10,87,102175,24,22,38
10,78,102198,34,32,58,11,79,102183,26,24,41
12,75,102196,33,29,55,13,77,102170,27,25,44
15,65,102182,33,30,56,15,66,102149,27,25,44
16,61,102145,30,27,50,16,63,102112,26,23,41
17,59,102112,30,27,51,17,60,102068,26,24,43
18,57,102062,30,26,49,18,58,102023,24,22,39
19,53,102020,28,24,46,18,54,101979,23,21,38
19,54,101989,26,22,41,18,55,101941,22,20,34
18,52,101981,23,19,34,18,53,101920,18,15,25
17,50,101975,19,15,26,17,51,101916,91,112,162
16,54,101958,19,14,25,15,54,101905,46,53,82
14,58,101996,23,18,32,14,59,101945,21,19,30
14,60,102013,20,16,27,14,61,101968,21,18,30
13,60,102014,21,16,29,13,61,101976,17,15,24
11,65,102016,26,22,38,11,65,101972,20,18,29
11,72,101980,28,24,43,10,72,101941,23,20,34
11,71,101947,28,24,43,10,71,101921,23,20,34
9,80,101904,30,26,46,8,77,101872,25,22,37
9,75,101876,29,25,44,9,72,101849,30,28,47
7,85,101852,31,27,48,7,82,101831,29,27,47
7,89,101839,33,29,54,6,85,101818,29,27,45
6,89,101836,37,34,61,6,86,101817,28,26,44
6,92,101863,39,37,67,6,92,101830,30,28,48
8,87,101896,38,35,64,8,90,101863,32,31,52
10,83,101897,41,40,72,10,85,101852,31,29,51
11,78,101878,46,44,81,12,79,101830,32,30,52
13,73,101843,45,43,80,14,74,101793,32,30,53
15,64,101777,36,34,64,15,66,101716,28,27,47
16,63,101709,30,28,53,16,64,101638,26,24,43
17,57,101612,28,25,48,17,58,101548,24,21,37
19,52,101520,27,24,47,18,53,101436,25,24,42
19,52,101439,28,24,47,17,53,101369,21,19,33
15,63,101415,27,23,42,14,64,101332,22,19,32
13,61,101458,29,26,47,13,61,101412,24,22,38
11,78,101487,36,34,63,11,77,101451,23,21,37
10,87,101485,36,34,62,10,87,101429,31,30,53
9,88,101478,53,53,94,10,89,101428,37,38,62
9,87,101423,56,58,101,10,88,101371,45,48,73
9,87,101390,53,55,98,10,87,101345,44,47,72
8,94,101365,41,41,77,9,94,101320,37,38,63
8,91,101333,33,32,60,9,90,101300,26,25,44
8,93,101274,36,35,66,9,92,101246,25,24,43
7,90,101263,34,34,64,8,91,101220,27,26,46
5,87,101306,9,8,15,6,87,101281,7,7,12
5,84,101338,14,12,21,5,84,101317,6,6,10
5,90,101355,27,23,42,5,89,101337,15,14,24
5,87,101358,32,31,56,5,87,101333,20,19,33
5,80,101356,28,26,46,5,81,101323,21,20,35
5,77,101351,23,19,35,6,79,101324,15,14,25
5,78,101390,14,11,20,5,78,101354,7,7,11
6,64,101426,3,2,5,6,65,101412,3,3,6
7,77,101392,5,4,8,7,76,101368,2,2,4
6,67,101430,3,2,4,6,68,101383,1,1,2
6,78,101405,6,5,10,6,78,101370,2,2,5
5,85,101385,10,8,13,5,83,101350,5,5,9
5,79,101428,6,5,8,5,78,101370,4,4,8
4,83,101472,7,6,10,5,83,101431,3,3,5
4,86,101544,13,10,18,4,85,101516,7,6,10
4,83,101600,9,7,13,4,82,101582,6,6,10
3,87,101661,17,13,23,3,87,101653,12,11,18
3,90,101687,34,30,54,3,90,101664,22,19,32
