,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-10-19 18:00:00,-,-,-,-,-,-,37.517562,127.047289
1,2020-10-19 17:00:00,-,-,-,-,-,-,37.517562,127.047289
2,2020-10-19 16:00:00,53,26,0.004,0.5,0.056,0.025,37.517562,127.047289
3,2020-10-19 15:00:00,53,28,0.004,0.6,0.056,0.027,37.517562,127.047289
4,2020-10-19 14:00:00,47,25,0.005,0.6,0.058,0.023,37.517562,127.047289
5,2020-10-19 13:00:00,49,25,0.004,0.5,0.059,0.018,37.517562,127.047289
6,2020-10-19 12:00:00,44,23,0.004,0.6,0.038,0.031,37.517562,127.047289
7,2020-10-19 11:00:00,40,24,0.003,0.7,0.011,0.042,37.517562,127.047289
8,2020-10-19 10:00:00,33,22,0.003,0.6,0.010,0.036,37.517562,127.047289
9,2020-10-19 09:00:00,35,24,0.003,0.6,0.006,0.035,37.517562,127.047289
10,2020-10-19 08:00:00,30,20,0.003,0.6,0.002,0.035,37.517562,127.047289
11,2020-10-19 07:00:00,29,21,0.003,0.6,0.002,0.033,37.517562,127.047289
12,2020-10-19 06:00:00,27,20,0.003,0.5,0.003,0.031,37.517562,127.047289
13,2020-10-19 05:00:00,27,20,0.003,0.6,0.003,0.033,37.517562,127.047289
14,2020-10-19 04:00:00,26,18,0.003,0.6,0.002,0.035,37.517562,127.047289
15,2020-10-19 03:00:00,24,21,0.003,0.6,0.002,0.041,37.517562,127.047289
16,2020-10-19 02:00:00,25,16,0.003,0.7,0.001,0.050,37.517562,127.047289
17,2020-10-19 01:00:00,27,15,0.003,0.8,0.002,0.052,37.517562,127.047289
18,,27,18,0.003,0.8,0.002,0.054,37.517562,127.047289
19,2020-10-18 23:00:00,28,19,0.003,0.8,0.004,0.053,37.517562,127.047289
20,2020-10-18 22:00:00,26,17,0.003,0.5,0.033,0.028,37.517562,127.047289
21,2020-10-18 21:00:00,25,17,0.004,0.5,0.034,0.028,37.517562,127.047289
22,2020-10-18 20:00:00,24,15,0.007,0.5,0.043,0.022,37.517562,127.047289
23,2020-10-18 19:00:00,24,15,0.007,0.4,0.051,0.014,37.517562,127.047289
24,2020-10-18 18:00:00,27,18,0.004,0.4,0.051,0.014,37.517562,127.047289
