,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,31,22,0.004,0.8,0.007,0.043,37.517562,127.047289
1,2020-12-02 12:00,30,18,0.004,0.6,0.010,0.037,37.517562,127.047289
2,2020-12-02 11:00,33,19,0.004,0.7,0.007,0.039,37.517562,127.047289
3,2020-12-02 10:00,36,20,0.004,0.7,0.004,0.040,37.517562,127.047289
4,2020-12-02 09:00,32,19,0.004,0.7,0.004,0.040,37.517562,127.047289
5,2020-12-02 08:00,28,18,0.004,0.6,0.007,0.035,37.517562,127.047289
6,2020-12-02 07:00,28,17,0.004,0.5,0.014,0.025,37.517562,127.047289
7,2020-12-02 06:00,28,18,0.004,0.5,0.014,0.024,37.517562,127.047289
8,2020-12-02 05:00,28,19,0.004,0.5,0.020,0.017,37.517562,127.047289
9,2020-12-02 04:00,27,18,0.004,0.6,0.009,0.032,37.517562,127.047289
10,2020-12-02 03:00,27,14,0.003,0.5,0.018,0.021,37.517562,127.047289
11,2020-12-02 02:00,25,15,0.004,0.5,0.011,0.031,37.517562,127.047289
12,2020-12-02 01:00,27,17,0.003,0.5,0.010,0.033,37.517562,127.047289
13,2020-12-01 24:00,25,15,0.003,0.5,0.007,0.036,37.517562,127.047289
14,2020-12-01 23:00,24,15,0.003,0.6,0.006,0.039,37.517562,127.047289
15,2020-12-01 22:00,23,15,0.003,0.5,0.010,0.034,37.517562,127.047289
16,2020-12-01 21:00,26,19,0.003,0.6,0.011,0.033,37.517562,127.047289
17,2020-12-01 20:00,24,16,0.003,0.5,0.013,0.031,37.517562,127.047289
18,2020-12-01 19:00,21,17,0.003,0.5,0.009,0.036,37.517562,127.047289
19,2020-12-01 18:00,21,13,0.003,0.5,0.013,0.031,37.517562,127.047289
20,2020-12-01 17:00,29,14,0.003,0.4,0.018,0.027,37.517562,127.047289
21,2020-12-01 16:00,28,20,0.003,0.4,0.019,0.029,37.517562,127.047289
22,2020-12-01 15:00,31,20,0.004,0.5,0.015,0.033,37.517562,127.047289
23,2020-12-01 14:00,32,21,0.004,0.6,0.012,0.037,37.517562,127.047289
24,2020-12-01 13:00,34,22,0.004,0.7,0.012,0.036,37.517562,127.047289
25,2020-12-01 12:00,36,20,0.004,0.7,0.012,0.036,37.517562,127.047289
26,2020-12-01 11:00,42,26,0.004,0.8,0.007,0.040,37.517562,127.047289
27,2020-12-01 10:00,40,25,0.004,0.8,0.005,0.043,37.517562,127.047289
28,2020-12-01 09:00,32,21,0.004,0.9,0.004,0.041,37.517562,127.047289
29,2020-12-01 08:00,30,20,0.004,0.6,0.003,0.040,37.517562,127.047289
30,2020-12-01 07:00,29,22,0.004,0.6,0.004,0.038,37.517562,127.047289
31,2020-12-01 06:00,26,18,0.003,0.6,0.015,0.024,37.517562,127.047289
32,2020-12-01 05:00,25,17,0.004,0.5,0.020,0.019,37.517562,127.047289
33,2020-12-01 04:00,23,16,0.004,0.6,0.018,0.022,37.517562,127.047289
34,2020-12-01 03:00,28,19,0.004,0.5,0.019,0.021,37.517562,127.047289
35,2020-12-01 02:00,28,21,0.004,0.6,0.016,0.025,37.517562,127.047289
36,2020-12-01 01:00,32,23,0.004,0.6,0.014,0.028,37.517562,127.047289
37,2020-11-30 24:00,29,20,0.003,0.6,0.015,0.027,37.517562,127.047289
38,2020-11-30 23:00,32,21,0.004,0.6,0.016,0.028,37.517562,127.047289
39,2020-11-30 22:00,31,21,0.004,0.6,0.016,0.026,37.517562,127.047289
40,2020-11-30 21:00,28,22,0.004,0.6,0.015,0.029,37.517562,127.047289
41,2020-11-30 20:00,30,21,0.004,0.6,0.016,0.029,37.517562,127.047289
42,2020-11-30 19:00,32,25,0.004,0.6,0.016,0.029,37.517562,127.047289
43,2020-11-30 18:00,31,24,0.004,0.6,0.017,0.028,37.517562,127.047289
44,2020-11-30 17:00,28,21,0.004,0.5,0.021,0.025,37.517562,127.047289
45,2020-11-30 16:00,25,18,0.004,0.5,0.025,0.021,37.517562,127.047289
46,2020-11-30 15:00,28,19,0.004,0.5,0.026,0.019,37.517562,127.047289
47,2020-11-30 14:00,29,20,0.004,0.5,0.021,0.020,37.517562,127.047289
48,2020-11-30 13:00,26,19,0.004,0.5,0.020,0.021,37.517562,127.047289
49,2020-11-30 12:00,24,14,0.004,0.5,0.023,0.016,37.517562,127.047289
50,2020-11-30 11:00,25,17,0.004,0.6,0.011,0.031,37.517562,127.047289
51,2020-11-30 10:00,24,15,0.003,0.8,0.004,0.043,37.517562,127.047289
52,2020-11-30 09:00,21,15,0.003,0.7,0.003,0.040,37.517562,127.047289
53,2020-11-30 08:00,17,12,0.003,0.6,0.002,0.040,37.517562,127.047289
54,2020-11-30 07:00,16,11,0.003,0.5,0.002,0.039,37.517562,127.047289
55,2020-11-30 06:00,12,10,0.003,0.5,0.006,0.033,37.517562,127.047289
56,2020-11-30 05:00,11,9,0.003,0.5,0.013,0.024,37.517562,127.047289
57,2020-11-30 04:00,10,8,0.003,0.5,0.016,0.022,37.517562,127.047289
58,2020-11-30 03:00,11,11,0.003,0.4,0.020,0.017,37.517562,127.047289
59,2020-11-30 02:00,10,8,0.003,0.4,0.022,0.016,37.517562,127.047289
60,2020-11-30 01:00,10,7,0.003,0.3,0.026,0.012,37.517562,127.047289
61,2020-11-29 24:00,10,8,0.003,0.3,0.027,0.012,37.517562,127.047289
62,2020-11-29 23:00,11,9,0.003,0.3,0.027,0.010,37.517562,127.047289
63,2020-11-29 22:00,13,10,0.003,0.4,0.024,0.013,37.517562,127.047289
64,2020-11-29 21:00,18,16,0.003,0.4,0.023,0.014,37.517562,127.047289
65,2020-11-29 20:00,21,16,0.003,0.5,0.019,0.019,37.517562,127.047289
66,2020-11-29 19:00,21,19,0.003,0.5,0.019,0.019,37.517562,127.047289
67,2020-11-29 18:00,19,15,0.003,0.4,0.023,0.016,37.517562,127.047289
68,2020-11-29 17:00,21,16,0.003,0.4,0.025,0.013,37.517562,127.047289
69,2020-11-29 16:00,22,16,0.003,0.4,0.024,0.014,37.517562,127.047289
70,2020-11-29 15:00,22,17,0.003,0.4,0.024,0.015,37.517562,127.047289
71,2020-11-29 14:00,24,16,0.003,0.5,0.020,0.017,37.517562,127.047289
72,2020-11-29 13:00,21,14,0.004,0.5,0.019,0.018,37.517562,127.047289
73,2020-11-29 12:00,23,15,0.004,0.5,0.016,0.021,37.517562,127.047289
74,2020-11-29 11:00,22,14,0.003,0.5,0.016,0.021,37.517562,127.047289
75,2020-11-29 10:00,23,14,0.004,0.5,0.012,0.023,37.517562,127.047289
76,2020-11-29 09:00,24,15,0.003,0.5,0.007,0.027,37.517562,127.047289
77,2020-11-29 08:00,22,14,0.003,0.5,0.005,0.027,37.517562,127.047289
78,2020-11-29 07:00,20,13,0.003,0.4,0.012,0.021,37.517562,127.047289
79,2020-11-29 06:00,21,13,0.003,0.4,0.018,0.014,37.517562,127.047289
80,2020-11-29 05:00,18,12,0.003,0.4,0.018,0.016,37.517562,127.047289
81,2020-11-29 04:00,18,11,0.003,0.4,0.018,0.016,37.517562,127.047289
82,2020-11-29 03:00,19,11,0.003,0.4,0.019,0.014,37.517562,127.047289
83,2020-11-29 02:00,19,10,0.003,0.4,0.021,0.012,37.517562,127.047289
84,2020-11-29 01:00,21,12,0.003,0.4,0.019,0.014,37.517562,127.047289
85,2020-11-28 24:00,17,11,0.003,0.4,0.014,0.021,37.517562,127.047289
86,2020-11-28 23:00,17,9,0.003,0.4,0.018,0.018,37.517562,127.047289
87,2020-11-28 22:00,15,9,0.003,0.4,0.020,0.016,37.517562,127.047289
88,2020-11-28 21:00,17,11,0.003,0.4,0.020,0.016,37.517562,127.047289
89,2020-11-28 20:00,15,10,0.003,0.4,0.021,0.016,37.517562,127.047289
90,2020-11-28 19:00,14,9,0.003,0.4,0.021,0.017,37.517562,127.047289
91,2020-11-28 18:00,15,10,0.003,0.4,0.021,0.017,37.517562,127.047289
92,2020-11-28 17:00,18,12,0.003,0.4,0.023,0.016,37.517562,127.047289
93,2020-11-28 16:00,14,8,0.003,0.3,0.026,0.012,37.517562,127.047289
94,2020-11-28 15:00,14,11,0.003,0.3,0.028,0.009,37.517562,127.047289
95,2020-11-28 14:00,15,8,0.003,0.3,0.028,0.009,37.517562,127.047289
96,2020-11-28 13:00,15,11,0.003,0.4,0.025,0.012,37.517562,127.047289
97,2020-11-28 12:00,17,9,0.003,0.4,0.021,0.014,37.517562,127.047289
98,2020-11-28 11:00,20,13,0.004,0.4,0.018,0.015,37.517562,127.047289
99,2020-11-28 10:00,19,13,0.004,0.4,0.016,0.016,37.517562,127.047289
