,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,36,23,0.003,0.7,0.002,0.045,37.545089,127.136806
1,2020-12-26 01:00:00,40,25,0.003,0.7,0.002,0.047,37.545089,127.136806
2,,38,24,0.003,0.7,0.002,0.046,37.545089,127.136806
3,2020-12-25 23:00:00,36,18,0.003,0.7,0.002,0.051,37.545089,127.136806
4,2020-12-25 22:00:00,32,17,0.003,0.6,0.002,0.051,37.545089,127.136806
5,2020-12-25 21:00:00,35,18,0.003,0.6,0.004,0.048,37.545089,127.136806
6,2020-12-25 20:00:00,31,16,0.003,0.5,0.010,0.039,37.545089,127.136806
7,2020-12-25 19:00:00,32,16,0.003,0.4,0.017,0.029,37.545089,127.136806
8,2020-12-25 18:00:00,32,18,0.003,0.4,0.025,0.019,37.545089,127.136806
9,2020-12-25 17:00:00,31,16,0.003,0.4,0.028,0.015,37.545089,127.136806
10,2020-12-25 16:00:00,26,12,0.003,0.3,0.033,0.011,37.545089,127.136806
11,2020-12-25 15:00:00,29,14,0.003,0.3,0.033,0.010,37.545089,127.136806
12,2020-12-25 14:00:00,29,14,0.003,0.3,0.031,0.011,37.545089,127.136806
13,2020-12-25 13:00:00,32,17,0.003,0.4,0.028,0.014,37.545089,127.136806
14,2020-12-25 12:00:00,32,16,0.004,0.4,0.025,0.018,37.545089,127.136806
15,2020-12-25 11:00:00,30,15,0.004,0.4,0.021,0.022,37.545089,127.136806
16,2020-12-25 10:00:00,27,15,0.004,0.4,0.020,0.022,37.545089,127.136806
17,2020-12-25 09:00:00,29,22,0.003,0.5,0.019,0.023,37.545089,127.136806
18,2020-12-25 08:00:00,29,20,0.003,0.4,0.022,0.019,37.545089,127.136806
19,2020-12-25 07:00:00,32,22,0.004,0.4,0.026,0.014,37.545089,127.136806
20,2020-12-25 06:00:00,28,18,0.003,0.4,0.028,0.012,37.545089,127.136806
21,2020-12-25 05:00:00,27,21,0.003,0.4,0.025,0.015,37.545089,127.136806
22,2020-12-25 04:00:00,28,18,0.003,0.4,0.024,0.017,37.545089,127.136806
23,2020-12-25 03:00:00,26,15,0.003,0.4,0.032,0.009,37.545089,127.136806
24,2020-12-25 02:00:00,22,15,0.003,0.4,0.030,0.012,37.545089,127.136806
25,2020-12-25 01:00:00,22,18,0.003,0.4,0.029,0.013,37.545089,127.136806
26,,22,15,0.003,0.4,0.026,0.016,37.545089,127.136806
27,2020-12-24 23:00:00,27,16,0.003,0.4,0.025,0.017,37.545089,127.136806
28,2020-12-24 22:00:00,23,13,0.003,0.4,0.024,0.017,37.545089,127.136806
29,2020-12-24 21:00:00,23,14,0.002,0.4,0.022,0.020,37.545089,127.136806
30,2020-12-24 20:00:00,27,13,0.003,0.4,0.022,0.021,37.545089,127.136806
