,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,32,16,0.003,0.7,0.002,0.042,37.64793,127.011952
1,2020-12-26 01:00:00,30,14,0.003,0.6,0.006,0.032,37.64793,127.011952
2,,28,14,0.003,0.5,0.014,0.019,37.64793,127.011952
3,2020-12-25 23:00:00,31,17,0.003,0.5,0.014,0.021,37.64793,127.011952
4,2020-12-25 22:00:00,31,16,0.003,0.7,0.014,0.020,37.64793,127.011952
5,2020-12-25 21:00:00,36,18,0.004,0.7,0.014,0.021,37.64793,127.011952
6,2020-12-25 20:00:00,34,18,0.004,0.6,0.013,0.021,37.64793,127.011952
7,2020-12-25 19:00:00,44,25,0.004,0.7,0.017,0.019,37.64793,127.011952
8,2020-12-25 18:00:00,33,17,0.004,0.6,0.020,0.016,37.64793,127.011952
9,2020-12-25 17:00:00,30,14,0.004,0.4,0.028,0.011,37.64793,127.011952
10,2020-12-25 16:00:00,29,12,0.005,0.4,0.030,0.007,37.64793,127.011952
11,2020-12-25 15:00:00,34,14,0.004,0.3,0.030,0.007,37.64793,127.011952
12,2020-12-25 14:00:00,34,17,0.005,0.4,0.028,0.010,37.64793,127.011952
13,2020-12-25 13:00:00,38,19,0.005,0.4,0.025,0.012,37.64793,127.011952
14,2020-12-25 12:00:00,33,18,0.004,0.4,0.026,0.011,37.64793,127.011952
15,2020-12-25 11:00:00,40,20,0.005,0.4,0.021,0.017,37.64793,127.011952
16,2020-12-25 10:00:00,33,16,0.005,0.4,0.020,0.017,37.64793,127.011952
17,2020-12-25 09:00:00,33,18,0.004,0.5,0.013,0.022,37.64793,127.011952
18,2020-12-25 08:00:00,32,18,0.004,0.5,0.020,0.012,37.64793,127.011952
19,2020-12-25 07:00:00,34,19,0.005,0.4,0.025,0.008,37.64793,127.011952
20,2020-12-25 06:00:00,31,18,0.004,0.4,0.025,0.010,37.64793,127.011952
21,2020-12-25 05:00:00,32,20,0.003,0.5,0.022,0.012,37.64793,127.011952
22,2020-12-25 04:00:00,30,17,0.004,0.4,0.026,0.008,37.64793,127.011952
23,2020-12-25 03:00:00,31,17,0.004,0.4,0.027,0.007,37.64793,127.011952
24,2020-12-25 02:00:00,28,16,0.004,0.4,0.028,0.007,37.64793,127.011952
25,2020-12-25 01:00:00,28,17,0.004,0.4,0.027,0.008,37.64793,127.011952
26,,24,12,0.003,0.4,0.028,0.008,37.64793,127.011952
27,2020-12-24 23:00:00,25,15,0.004,0.4,0.029,0.006,37.64793,127.011952
28,2020-12-24 22:00:00,22,10,0.004,0.4,0.028,0.007,37.64793,127.011952
29,2020-12-24 21:00:00,20,10,0.004,0.3,0.028,0.007,37.64793,127.011952
30,2020-12-24 20:00:00,19,8,0.004,0.3,0.028,0.009,37.64793,127.011952
31,2020-12-24 19:00:00,27,10,0.004,0.3,0.030,0.007,37.64793,127.011952
32,2020-12-24 18:00:00,35,12,0.004,0.3,0.031,0.009,37.64793,127.011952
33,2020-12-24 17:00:00,39,15,0.004,0.3,0.031,0.010,37.64793,127.011952
34,2020-12-24 16:00:00,54,21,0.005,0.3,0.033,0.009,37.64793,127.011952
