,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,29,13,0.004,0.6,0.025,0.019,37.544656,126.835094
1,2020-12-02 12:00,41,18,0.004,0.5,0.019,0.023,37.544656,126.835094
2,2020-12-02 11:00,41,18,0.004,0.6,0.012,0.030,37.544656,126.835094
3,2020-12-02 10:00,-,19,0.004,0.6,0.012,0.028,37.544656,126.835094
4,2020-12-02 09:00,-,18,0.004,0.6,0.008,0.035,37.544656,126.835094
5,2020-12-02 08:00,42,19,0.004,0.6,0.007,0.034,37.544656,126.835094
6,2020-12-02 07:00,42,19,0.004,0.6,0.012,0.027,37.544656,126.835094
7,2020-12-02 06:00,39,19,0.004,0.6,0.019,0.019,37.544656,126.835094
8,2020-12-02 05:00,37,19,0.003,0.6,0.022,0.015,37.544656,126.835094
9,2020-12-02 04:00,37,20,0.003,0.5,0.021,0.016,37.544656,126.835094
10,2020-12-02 03:00,41,21,0.003,0.5,0.018,0.018,37.544656,126.835094
11,2020-12-02 02:00,39,20,0.004,0.5,0.017,0.020,37.544656,126.835094
12,2020-12-02 01:00,40,19,0.005,0.6,0.014,0.024,37.544656,126.835094
13,2020-12-01 24:00,39,20,0.003,0.5,0.012,0.028,37.544656,126.835094
14,2020-12-01 23:00,37,14,0.005,0.6,0.009,0.033,37.544656,126.835094
15,2020-12-01 22:00,33,17,0.005,0.6,0.008,0.035,37.544656,126.835094
16,2020-12-01 21:00,28,15,0.003,0.5,0.005,0.041,37.544656,126.835094
17,2020-12-01 20:00,25,13,0.003,0.5,0.008,0.037,37.544656,126.835094
18,2020-12-01 19:00,25,13,0.004,0.5,0.013,0.032,37.544656,126.835094
19,2020-12-01 18:00,30,18,0.006,0.6,0.019,0.026,37.544656,126.835094
20,2020-12-01 17:00,33,-,0.004,0.4,0.024,0.020,37.544656,126.835094
21,2020-12-01 16:00,21,11,0.005,0.4,0.023,0.020,37.544656,126.835094
22,2020-12-01 15:00,15,8,0.005,0.5,0.029,0.015,37.544656,126.835094
23,2020-12-01 14:00,24,11,0.003,0.4,0.029,0.016,37.544656,126.835094
24,2020-12-01 13:00,32,16,0.004,0.5,0.026,0.019,37.544656,126.835094
25,2020-12-01 12:00,36,19,0.004,0.5,0.020,0.023,37.544656,126.835094
26,2020-12-01 11:00,43,17,0.004,0.5,0.016,0.026,37.544656,126.835094
27,2020-12-01 10:00,46,21,0.005,0.6,0.010,0.033,37.544656,126.835094
28,2020-12-01 09:00,54,21,0.005,0.7,0.005,0.040,37.544656,126.835094
29,2020-12-01 08:00,45,24,0.004,0.7,0.003,0.040,37.544656,126.835094
30,2020-12-01 07:00,43,23,0.004,0.6,0.006,0.034,37.544656,126.835094
31,2020-12-01 06:00,44,25,0.004,0.7,0.010,0.027,37.544656,126.835094
32,2020-12-01 05:00,45,25,0.004,0.6,0.012,0.025,37.544656,126.835094
33,2020-12-01 04:00,46,26,0.003,0.6,0.013,0.023,37.544656,126.835094
34,2020-12-01 03:00,51,27,0.004,0.6,0.012,0.026,37.544656,126.835094
35,2020-12-01 02:00,48,26,0.004,0.6,0.013,0.025,37.544656,126.835094
36,2020-12-01 01:00,49,25,0.004,0.6,0.017,0.023,37.544656,126.835094
37,2020-11-30 24:00,47,27,0.004,0.7,0.006,0.037,37.544656,126.835094
38,2020-11-30 23:00,47,26,0.005,0.7,0.009,0.036,37.544656,126.835094
39,2020-11-30 22:00,42,25,0.005,0.7,0.019,0.025,37.544656,126.835094
40,2020-11-30 21:00,42,25,0.005,0.7,0.019,0.025,37.544656,126.835094
41,2020-11-30 20:00,37,22,0.005,0.6,0.016,0.029,37.544656,126.835094
42,2020-11-30 19:00,40,23,0.006,0.6,0.006,0.041,37.544656,126.835094
43,2020-11-30 18:00,37,25,0.004,0.6,0.023,0.023,37.544656,126.835094
44,2020-11-30 17:00,35,17,0.005,0.6,0.029,0.015,37.544656,126.835094
45,2020-11-30 16:00,32,20,0.006,0.5,0.032,0.013,37.544656,126.835094
46,2020-11-30 15:00,38,20,0.005,0.5,0.030,0.014,37.544656,126.835094
47,2020-11-30 14:00,36,20,0.004,0.5,0.030,0.015,37.544656,126.835094
48,2020-11-30 13:00,38,19,0.004,0.5,0.026,0.015,37.544656,126.835094
49,2020-11-30 12:00,35,18,0.004,0.5,0.018,0.023,37.544656,126.835094
