,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,32,15,0.003,0.5,0.015,0.029,37.488242,126.927089
1,2020-12-02 12:00,36,21,0.004,0.6,0.009,0.039,37.488242,126.927089
2,2020-12-02 11:00,36,21,0.004,0.7,0.006,0.042,37.488242,126.927089
3,2020-12-02 10:00,35,19,0.004,0.7,0.004,0.043,37.488242,126.927089
4,2020-12-02 09:00,33,18,0.003,0.7,0.002,0.045,37.488242,126.927089
5,2020-12-02 08:00,31,16,0.003,0.6,0.001,0.044,37.488242,126.927089
6,2020-12-02 07:00,29,18,0.003,0.6,0.003,0.039,37.488242,126.927089
7,2020-12-02 06:00,29,16,0.003,0.6,0.009,0.031,37.488242,126.927089
8,2020-12-02 05:00,28,13,0.003,0.5,0.013,0.025,37.488242,126.927089
9,2020-12-02 04:00,28,15,0.003,0.5,0.013,0.027,37.488242,126.927089
10,2020-12-02 03:00,30,17,0.003,0.5,0.011,0.030,37.488242,126.927089
11,2020-12-02 02:00,29,15,0.003,0.6,0.007,0.038,37.488242,126.927089
12,2020-12-02 01:00,28,15,0.003,0.6,0.006,0.038,37.488242,126.927089
13,2020-12-01 24:00,26,12,0.003,0.5,0.005,0.042,37.488242,126.927089
14,2020-12-01 23:00,26,12,0.003,0.5,0.008,0.040,37.488242,126.927089
15,2020-12-01 22:00,26,13,0.003,0.6,0.006,0.042,37.488242,126.927089
16,2020-12-01 21:00,27,12,0.003,0.5,0.007,0.043,37.488242,126.927089
17,2020-12-01 20:00,24,14,0.003,0.5,0.010,0.037,37.488242,126.927089
18,2020-12-01 19:00,25,13,0.003,0.6,0.008,0.041,37.488242,126.927089
19,2020-12-01 18:00,24,13,0.003,0.5,0.012,0.036,37.488242,126.927089
20,2020-12-01 17:00,20,10,0.003,0.5,0.017,0.028,37.488242,126.927089
21,2020-12-01 16:00,17,10,0.002,0.4,0.022,0.022,37.488242,126.927089
22,2020-12-01 15:00,27,15,0.003,0.4,0.023,0.020,37.488242,126.927089
23,2020-12-01 14:00,30,18,0.003,0.4,0.021,0.026,37.488242,126.927089
24,2020-12-01 13:00,36,23,0.003,0.5,0.013,0.034,37.488242,126.927089
25,2020-12-01 12:00,37,24,0.003,0.7,0.009,0.043,37.488242,126.927089
26,2020-12-01 11:00,35,20,0.003,0.7,0.010,0.040,37.488242,126.927089
27,2020-12-01 10:00,32,18,0.004,0.8,0.006,0.046,37.488242,126.927089
28,2020-12-01 09:00,30,19,0.003,0.8,0.004,0.053,37.488242,126.927089
29,2020-12-01 08:00,29,17,0.004,0.7,0.002,0.050,37.488242,126.927089
30,2020-12-01 07:00,29,18,0.003,0.6,0.002,0.045,37.488242,126.927089
31,2020-12-01 06:00,27,15,0.003,0.6,0.010,0.031,37.488242,126.927089
32,2020-12-01 05:00,30,16,0.003,0.5,0.017,0.021,37.488242,126.927089
33,2020-12-01 04:00,29,17,0.003,0.5,0.019,0.019,37.488242,126.927089
34,2020-12-01 03:00,32,21,0.003,0.6,0.015,0.024,37.488242,126.927089
35,2020-12-01 02:00,35,20,0.003,0.6,0.011,0.028,37.488242,126.927089
36,2020-12-01 01:00,34,21,0.003,0.6,0.010,0.033,37.488242,126.927089
37,2020-11-30 24:00,31,18,0.003,0.6,0.014,0.028,37.488242,126.927089
38,2020-11-30 23:00,33,20,0.003,0.6,0.012,0.034,37.488242,126.927089
39,2020-11-30 22:00,31,18,0.003,0.7,0.008,0.040,37.488242,126.927089
40,2020-11-30 21:00,26,13,0.003,0.6,0.014,0.033,37.488242,126.927089
41,2020-11-30 20:00,28,17,0.004,0.5,0.012,0.036,37.488242,126.927089
42,2020-11-30 19:00,29,18,0.003,0.6,0.014,0.036,37.488242,126.927089
43,2020-11-30 18:00,29,18,0.003,0.5,0.019,0.026,37.488242,126.927089
44,2020-11-30 17:00,29,17,0.003,0.5,0.025,0.019,37.488242,126.927089
45,2020-11-30 16:00,34,22,0.004,0.5,0.026,0.020,37.488242,126.927089
46,2020-11-30 15:00,35,24,0.004,0.5,0.025,0.023,37.488242,126.927089
47,2020-11-30 14:00,33,21,0.004,0.5,0.023,0.020,37.488242,126.927089
48,2020-11-30 13:00,35,22,0.004,0.5,0.019,0.020,37.488242,126.927089
49,2020-11-30 12:00,34,22,0.004,0.5,0.018,0.022,37.488242,126.927089
50,2020-11-30 11:00,27,16,0.004,0.5,0.019,0.020,37.488242,126.927089
51,2020-11-30 10:00,20,10,0.004,0.5,0.013,0.029,37.488242,126.927089
52,2020-11-30 09:00,18,11,0.003,0.5,0.009,0.037,37.488242,126.927089
53,2020-11-30 08:00,18,10,0.003,0.7,0.003,0.051,37.488242,126.927089
54,2020-11-30 07:00,15,9,0.003,0.6,0.002,0.047,37.488242,126.927089
55,2020-11-30 06:00,13,7,0.003,0.5,0.002,0.044,37.488242,126.927089
56,2020-11-30 05:00,13,7,0.003,0.5,0.006,0.037,37.488242,126.927089
57,2020-11-30 04:00,12,5,0.003,0.4,0.016,0.025,37.488242,126.927089
58,2020-11-30 03:00,10,5,0.003,0.4,0.021,0.018,37.488242,126.927089
59,2020-11-30 02:00,11,5,0.003,0.4,0.021,0.017,37.488242,126.927089
60,2020-11-30 01:00,13,5,0.003,0.4,0.018,0.020,37.488242,126.927089
61,2020-11-29 24:00,11,5,0.003,0.4,0.028,0.023,37.488242,126.927089
62,2020-11-29 23:00,14,8,0.002,0.4,0.030,0.024,37.488242,126.927089
63,2020-11-29 22:00,14,7,0.002,0.4,0.013,0.019,37.488242,126.927089
64,2020-11-29 21:00,20,12,0.002,0.4,0.034,0.018,37.488242,126.927089
65,2020-11-29 20:00,22,13,0.003,0.5,-,0.025,37.488242,126.927089
66,2020-11-29 19:00,22,12,0.003,0.5,0.016,0.022,37.488242,126.927089
67,2020-11-29 18:00,20,12,0.003,0.5,0.017,0.019,37.488242,126.927089
68,2020-11-29 17:00,21,14,0.003,0.4,0.022,0.016,37.488242,126.927089
69,2020-11-29 16:00,21,13,0.003,0.4,0.023,0.015,37.488242,126.927089
70,2020-11-29 15:00,23,14,0.003,0.4,0.023,0.015,37.488242,126.927089
71,2020-11-29 14:00,28,16,0.003,0.4,0.021,0.017,37.488242,126.927089
72,2020-11-29 13:00,30,14,0.004,0.5,0.017,0.022,37.488242,126.927089
73,2020-11-29 12:00,29,17,0.003,0.5,0.011,0.028,37.488242,126.927089
74,2020-11-29 11:00,29,17,0.003,0.5,0.011,0.029,37.488242,126.927089
75,2020-11-29 10:00,24,13,0.003,0.6,0.008,0.031,37.488242,126.927089
76,2020-11-29 09:00,21,11,0.003,0.5,0.006,0.033,37.488242,126.927089
77,2020-11-29 08:00,21,10,0.003,0.5,0.005,0.032,37.488242,126.927089
78,2020-11-29 07:00,20,10,0.003,0.5,0.006,0.032,37.488242,126.927089
79,2020-11-29 06:00,20,9,0.003,0.5,0.011,0.023,37.488242,126.927089
80,2020-11-29 05:00,18,8,0.002,0.5,0.014,0.019,37.488242,126.927089
81,2020-11-29 04:00,20,9,0.002,0.4,0.015,0.020,37.488242,126.927089
82,2020-11-29 03:00,20,8,0.003,0.4,0.015,0.021,37.488242,126.927089
83,2020-11-29 02:00,18,8,0.003,0.4,0.015,0.022,37.488242,126.927089
84,2020-11-29 01:00,16,8,0.002,0.4,0.017,0.019,37.488242,126.927089
85,2020-11-28 24:00,17,7,0.003,0.4,0.018,0.017,37.488242,126.927089
86,2020-11-28 23:00,18,5,0.003,0.4,0.016,0.021,37.488242,126.927089
87,2020-11-28 22:00,15,6,0.003,0.4,0.015,0.022,37.488242,126.927089
88,2020-11-28 21:00,14,7,0.003,0.4,0.019,0.018,37.488242,126.927089
89,2020-11-28 20:00,15,6,0.003,0.4,0.019,0.018,37.488242,126.927089
90,2020-11-28 19:00,15,6,0.002,0.4,0.019,0.020,37.488242,126.927089
91,2020-11-28 18:00,18,11,0.003,0.4,0.021,0.020,37.488242,126.927089
92,2020-11-28 17:00,19,13,0.003,0.4,0.023,0.018,37.488242,126.927089
93,2020-11-28 16:00,17,9,0.003,0.3,0.025,0.014,37.488242,126.927089
94,2020-11-28 15:00,20,10,0.003,0.3,0.026,0.011,37.488242,126.927089
95,2020-11-28 14:00,19,11,0.003,0.4,0.026,0.012,37.488242,126.927089
96,2020-11-28 13:00,25,11,0.003,0.3,0.024,0.012,37.488242,126.927089
97,2020-11-28 12:00,26,15,0.003,0.4,0.021,0.014,37.488242,126.927089
98,2020-11-28 11:00,24,11,0.003,0.4,0.018,0.014,37.488242,126.927089
99,2020-11-28 10:00,19,9,0.003,0.4,0.016,0.016,37.488242,126.927089
