,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,34,21,0.002,0.5,0.011,0.026,37.544639,127.095706
1,2020-12-02 12:00,36,22,0.002,0.6,0.005,0.027,37.544639,127.095706
2,2020-12-02 11:00,38,25,0.002,0.6,0.005,0.027,37.544639,127.095706
3,2020-12-02 10:00,36,23,0.002,0.6,0.005,0.025,37.544639,127.095706
4,2020-12-02 09:00,38,26,0.002,0.6,0.003,0.025,37.544639,127.095706
5,2020-12-02 08:00,35,24,0.002,0.5,0.002,0.023,37.544639,127.095706
6,2020-12-02 07:00,33,22,0.002,0.5,0.008,0.017,37.544639,127.095706
7,2020-12-02 06:00,30,20,0.002,0.4,0.009,0.017,37.544639,127.095706
8,2020-12-02 05:00,29,20,0.002,0.4,0.010,0.016,37.544639,127.095706
9,2020-12-02 04:00,29,18,0.002,0.4,0.009,0.019,37.544639,127.095706
10,2020-12-02 03:00,29,18,0.002,0.5,0.008,0.020,37.544639,127.095706
11,2020-12-02 02:00,32,19,0.002,0.5,0.005,0.024,37.544639,127.095706
12,2020-12-02 01:00,32,19,0.002,0.5,0.002,0.024,37.544639,127.095706
13,2020-12-01 24:00,28,16,0.002,0.4,0.007,0.022,37.544639,127.095706
14,2020-12-01 23:00,29,17,0.002,0.4,0.008,0.021,37.544639,127.095706
15,2020-12-01 22:00,22,15,0.002,0.4,0.012,0.018,37.544639,127.095706
16,2020-12-01 21:00,21,16,0.002,0.4,0.010,0.020,37.544639,127.095706
17,2020-12-01 20:00,19,12,0.002,0.4,0.007,0.022,37.544639,127.095706
18,2020-12-01 19:00,16,12,0.001,0.3,0.012,0.017,37.544639,127.095706
19,2020-12-01 18:00,12,10,0.001,0.3,0.017,0.014,37.544639,127.095706
20,2020-12-01 17:00,14,12,0.002,0.3,0.018,0.013,37.544639,127.095706
21,2020-12-01 16:00,20,14,0.002,0.3,0.018,0.016,37.544639,127.095706
22,2020-12-01 15:00,20,13,0.002,0.4,0.018,0.021,37.544639,127.095706
23,2020-12-01 14:00,24,16,0.002,0.4,0.011,0.027,37.544639,127.095706
24,2020-12-01 13:00,39,26,0.002,0.5,0.012,0.027,37.544639,127.095706
25,2020-12-01 12:00,42,29,0.002,0.6,0.008,0.028,37.544639,127.095706
26,2020-12-01 11:00,52,33,0.003,0.7,0.006,0.030,37.544639,127.095706
27,2020-12-01 10:00,45,28,0.003,0.7,0.004,0.030,37.544639,127.095706
28,2020-12-01 09:00,40,25,0.002,0.6,0.003,0.028,37.544639,127.095706
29,2020-12-01 08:00,34,23,-,0.5,0.002,0.026,37.544639,127.095706
30,2020-12-01 07:00,37,24,-,0.5,0.004,0.023,37.544639,127.095706
31,2020-12-01 06:00,36,24,-,0.5,0.005,0.019,37.544639,127.095706
32,2020-12-01 05:00,31,23,-,0.4,0.012,0.015,37.544639,127.095706
33,2020-12-01 04:00,28,20,-,0.4,0.013,0.015,37.544639,127.095706
34,2020-12-01 03:00,27,19,-,0.4,0.014,0.014,37.544639,127.095706
35,2020-12-01 02:00,27,18,-,0.5,0.014,0.018,37.544639,127.095706
36,2020-12-01 01:00,34,21,-,0.5,0.007,0.024,37.544639,127.095706
37,2020-11-30 24:00,31,21,-,0.5,0.006,0.025,37.544639,127.095706
38,2020-11-30 23:00,33,24,-,0.5,0.005,0.025,37.544639,127.095706
39,2020-11-30 22:00,30,20,-,0.5,0.009,0.021,37.544639,127.095706
40,2020-11-30 21:00,31,21,-,0.5,0.013,0.017,37.544639,127.095706
41,2020-11-30 20:00,32,23,-,0.5,0.011,0.019,37.544639,127.095706
42,2020-11-30 19:00,34,24,-,0.5,0.013,0.017,37.544639,127.095706
43,2020-11-30 18:00,31,24,-,0.4,0.015,0.016,37.544639,127.095706
44,2020-11-30 17:00,28,20,-,0.4,0.017,0.014,37.544639,127.095706
45,2020-11-30 16:00,26,18,-,0.4,0.020,0.014,37.544639,127.095706
46,2020-11-30 15:00,31,21,-,0.4,0.019,0.016,37.544639,127.095706
47,2020-11-30 14:00,27,20,-,0.4,0.018,0.015,37.544639,127.095706
48,2020-11-30 13:00,30,20,-,-,-,-,37.544639,127.095706
49,2020-11-30 12:00,24,18,-,0.7,0.010,0.025,37.544639,127.095706
50,2020-11-30 11:00,23,15,-,0.7,0.010,0.026,37.544639,127.095706
51,2020-11-30 10:00,22,13,-,0.7,0.004,0.027,37.544639,127.095706
52,2020-11-30 09:00,20,13,-,0.7,0.002,0.025,37.544639,127.095706
53,2020-11-30 08:00,18,12,0.002,0.6,0.002,0.024,37.544639,127.095706
54,2020-11-30 07:00,22,15,0.002,0.6,0.001,0.023,37.544639,127.095706
55,2020-11-30 06:00,15,10,0.002,0.5,0.006,0.015,37.544639,127.095706
56,2020-11-30 05:00,15,10,0.002,0.5,0.016,0.010,37.544639,127.095706
57,2020-11-30 04:00,13,9,0.002,0.5,0.016,0.009,37.544639,127.095706
58,2020-11-30 03:00,14,10,0.002,0.4,0.020,0.007,37.544639,127.095706
59,2020-11-30 02:00,12,8,0.002,0.5,0.017,0.009,37.544639,127.095706
60,2020-11-30 01:00,14,9,0.002,0.5,0.018,0.009,37.544639,127.095706
61,2020-11-29 24:00,11,8,0.002,0.5,0.018,0.011,37.544639,127.095706
62,2020-11-29 23:00,12,9,0.002,0.5,0.016,0.011,37.544639,127.095706
63,2020-11-29 22:00,13,9,0.002,0.4,0.018,0.009,37.544639,127.095706
64,2020-11-29 21:00,20,18,0.002,0.5,0.019,0.009,37.544639,127.095706
65,2020-11-29 20:00,23,17,0.002,0.6,0.014,0.014,37.544639,127.095706
66,2020-11-29 19:00,22,18,0.002,0.6,0.013,0.014,37.544639,127.095706
67,2020-11-29 18:00,21,16,0.002,0.5,0.017,0.011,37.544639,127.095706
68,2020-11-29 17:00,20,19,0.002,0.5,0.019,0.010,37.544639,127.095706
69,2020-11-29 16:00,25,20,0.002,0.5,0.018,0.011,37.544639,127.095706
70,2020-11-29 15:00,24,18,0.002,0.6,0.017,0.013,37.544639,127.095706
71,2020-11-29 14:00,24,17,0.002,0.6,0.015,0.014,37.544639,127.095706
72,2020-11-29 13:00,25,16,0.002,0.6,0.015,0.014,37.544639,127.095706
73,2020-11-29 12:00,26,17,0.002,0.6,0.011,0.018,37.544639,127.095706
74,2020-11-29 11:00,24,18,0.002,0.6,0.011,0.018,37.544639,127.095706
75,2020-11-29 10:00,24,14,0.002,0.6,0.011,0.015,37.544639,127.095706
76,2020-11-29 09:00,28,15,0.002,0.6,0.012,0.014,37.544639,127.095706
77,2020-11-29 08:00,26,17,0.002,0.6,0.007,0.015,37.544639,127.095706
78,2020-11-29 07:00,26,14,0.002,0.6,0.007,0.015,37.544639,127.095706
79,2020-11-29 06:00,22,14,0.002,0.5,0.012,0.011,37.544639,127.095706
80,2020-11-29 05:00,22,16,0.002,0.5,0.013,0.011,37.544639,127.095706
81,2020-11-29 04:00,21,13,0.002,0.5,0.013,0.010,37.544639,127.095706
82,2020-11-29 03:00,23,12,0.002,0.5,0.014,0.009,37.544639,127.095706
83,2020-11-29 02:00,19,12,0.002,0.5,0.016,0.008,37.544639,127.095706
84,2020-11-29 01:00,19,11,0.002,0.5,0.016,0.009,37.544639,127.095706
85,2020-11-28 24:00,17,10,0.002,0.5,0.015,0.010,37.544639,127.095706
86,2020-11-28 23:00,17,10,0.002,0.5,0.014,0.012,37.544639,127.095706
87,2020-11-28 22:00,16,10,0.002,0.5,0.015,0.011,37.544639,127.095706
88,2020-11-28 21:00,18,11,0.002,0.5,0.017,0.010,37.544639,127.095706
89,2020-11-28 20:00,15,9,0.002,0.4,0.017,0.011,37.544639,127.095706
90,2020-11-28 19:00,15,10,0.002,0.4,0.018,0.010,37.544639,127.095706
91,2020-11-28 18:00,14,9,0.002,0.4,0.019,0.010,37.544639,127.095706
92,2020-11-28 17:00,14,12,0.002,0.4,0.021,0.008,37.544639,127.095706
93,2020-11-28 16:00,14,8,0.002,0.4,0.022,0.008,37.544639,127.095706
94,2020-11-28 15:00,15,10,0.002,0.4,0.022,0.007,37.544639,127.095706
95,2020-11-28 14:00,13,8,0.002,0.4,0.021,0.009,37.544639,127.095706
96,2020-11-28 13:00,18,11,0.002,0.4,0.019,0.012,37.544639,127.095706
97,2020-11-28 12:00,21,13,0.002,0.5,0.016,0.013,37.544639,127.095706
98,2020-11-28 11:00,25,14,0.002,0.5,0.013,0.015,37.544639,127.095706
99,2020-11-28 10:00,21,13,0.002,0.5,0.012,0.014,37.544639,127.095706
