,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,27,9,0.004,0.3,0.021,0.019,37.498498,126.889692
1,2020-12-02 12:00,34,15,0.004,0.3,0.017,0.023,37.498498,126.889692
2,2020-12-02 11:00,50,20,0.004,0.5,0.008,0.030,37.498498,126.889692
3,2020-12-02 10:00,47,19,0.004,0.5,0.006,0.031,37.498498,126.889692
4,2020-12-02 09:00,46,17,0.004,0.5,0.004,0.033,37.498498,126.889692
5,2020-12-02 08:00,43,17,0.004,0.5,0.005,0.032,37.498498,126.889692
6,2020-12-02 07:00,38,14,0.004,0.4,0.005,0.031,37.498498,126.889692
7,2020-12-02 06:00,34,13,0.004,0.4,0.011,0.024,37.498498,126.889692
8,2020-12-02 05:00,33,14,0.004,0.4,0.014,0.021,37.498498,126.889692
9,2020-12-02 04:00,36,14,0.004,0.4,0.017,0.018,37.498498,126.889692
10,2020-12-02 03:00,36,14,0.004,0.4,0.019,0.017,37.498498,126.889692
11,2020-12-02 02:00,36,15,0.004,0.4,0.012,0.025,37.498498,126.889692
12,2020-12-02 01:00,40,13,0.004,0.4,0.010,0.028,37.498498,126.889692
13,2020-12-01 24:00,36,12,0.003,0.4,0.011,0.027,37.498498,126.889692
14,2020-12-01 23:00,36,12,0.004,0.5,0.005,0.036,37.498498,126.889692
15,2020-12-01 22:00,41,12,0.004,0.5,0.003,0.040,37.498498,126.889692
16,2020-12-01 21:00,23,11,0.004,0.4,0.004,0.039,37.498498,126.889692
17,2020-12-01 20:00,28,8,0.003,0.4,0.011,0.030,37.498498,126.889692
18,2020-12-01 19:00,28,8,0.003,0.4,0.015,0.026,37.498498,126.889692
19,2020-12-01 18:00,30,11,0.004,0.4,0.014,0.028,37.498498,126.889692
20,2020-12-01 17:00,31,11,0.004,0.3,0.015,0.026,37.498498,126.889692
21,2020-12-01 16:00,13,3,0.003,0.3,0.024,0.017,37.498498,126.889692
22,2020-12-01 15:00,18,7,0.003,0.3,0.028,0.014,37.498498,126.889692
23,2020-12-01 14:00,29,13,0.003,0.3,0.026,0.017,37.498498,126.889692
24,2020-12-01 13:00,33,12,0.004,0.3,0.020,0.021,37.498498,126.889692
25,2020-12-01 12:00,38,14,0.004,0.4,0.014,0.028,37.498498,126.889692
26,2020-12-01 11:00,39,18,0.004,0.5,0.010,0.031,37.498498,126.889692
27,2020-12-01 10:00,40,19,0.004,0.5,0.010,0.030,37.498498,126.889692
28,2020-12-01 09:00,37,15,0.004,0.5,0.006,0.034,37.498498,126.889692
29,2020-12-01 08:00,40,16,0.004,0.5,0.003,0.036,37.498498,126.889692
30,2020-12-01 07:00,36,15,0.004,0.4,0.005,0.033,37.498498,126.889692
31,2020-12-01 06:00,43,18,0.004,0.4,0.015,0.022,37.498498,126.889692
32,2020-12-01 05:00,37,-,0.004,0.4,0.019,0.017,37.498498,126.889692
33,2020-12-01 04:00,35,18,0.004,0.4,0.020,0.017,37.498498,126.889692
34,2020-12-01 03:00,42,22,0.004,0.5,0.016,0.020,37.498498,126.889692
35,2020-12-01 02:00,48,24,0.004,0.5,0.014,0.022,37.498498,126.889692
36,2020-12-01 01:00,54,23,0.004,0.5,0.007,0.032,37.498498,126.889692
37,2020-11-30 24:00,42,20,0.004,0.5,0.008,0.033,37.498498,126.889692
38,2020-11-30 23:00,40,18,0.004,0.5,0.012,0.029,37.498498,126.889692
39,2020-11-30 22:00,44,21,0.004,0.5,0.014,0.027,37.498498,126.889692
40,2020-11-30 21:00,40,18,0.004,0.5,0.017,0.024,37.498498,126.889692
41,2020-11-30 20:00,34,14,0.004,0.4,0.010,0.033,37.498498,126.889692
42,2020-11-30 19:00,40,20,0.004,0.4,0.012,0.032,37.498498,126.889692
43,2020-11-30 18:00,32,20,0.004,0.4,0.020,0.023,37.498498,126.889692
44,2020-11-30 17:00,33,16,0.004,0.4,0.028,0.016,37.498498,126.889692
45,2020-11-30 16:00,33,18,0.004,0.3,0.028,0.015,37.498498,126.889692
46,2020-11-30 15:00,40,23,0.005,0.4,0.027,0.016,37.498498,126.889692
47,2020-11-30 14:00,42,20,0.005,0.4,0.024,0.016,37.498498,126.889692
48,2020-11-30 13:00,35,18,0.005,0.4,0.022,0.016,37.498498,126.889692
49,2020-11-30 12:00,35,16,0.005,0.4,0.019,0.018,37.498498,126.889692
50,2020-11-30 11:00,31,13,0.005,0.4,0.021,0.015,37.498498,126.889692
51,2020-11-30 10:00,23,10,0.005,0.4,0.015,0.022,37.498498,126.889692
52,2020-11-30 09:00,29,9,0.004,0.4,0.007,0.032,37.498498,126.889692
53,2020-11-30 08:00,27,9,0.004,0.4,0.003,0.037,37.498498,126.889692
54,2020-11-30 07:00,24,13,0.004,0.4,0.004,0.036,37.498498,126.889692
55,2020-11-30 06:00,25,8,0.004,0.4,0.007,0.032,37.498498,126.889692
56,2020-11-30 05:00,19,6,0.004,0.3,0.012,0.026,37.498498,126.889692
57,2020-11-30 04:00,15,6,0.004,0.3,0.019,0.017,37.498498,126.889692
58,2020-11-30 03:00,13,7,0.004,0.3,0.023,0.014,37.498498,126.889692
59,2020-11-30 02:00,19,2,0.004,0.3,0.023,0.015,37.498498,126.889692
60,2020-11-30 01:00,14,2,0.003,0.3,0.020,0.017,37.498498,126.889692
61,2020-11-29 24:00,18,5,0.003,0.3,0.017,0.020,37.498498,126.889692
62,2020-11-29 23:00,15,7,0.003,0.3,0.017,0.019,37.498498,126.889692
63,2020-11-29 22:00,20,8,0.003,0.3,0.021,0.014,37.498498,126.889692
64,2020-11-29 21:00,22,8,0.003,0.3,0.020,0.016,37.498498,126.889692
65,2020-11-29 20:00,26,11,0.003,0.4,0.018,0.019,37.498498,126.889692
