,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,25,13,0.004,0.6,0.004,0.043,37.452386,126.908333
1,2020-12-26 01:00:00,28,14,0.004,0.7,0.002,0.046,37.452386,126.908333
2,,27,14,0.004,0.8,0.002,0.048,37.452386,126.908333
3,2020-12-25 23:00:00,32,17,0.004,0.8,0.001,0.051,37.452386,126.908333
4,2020-12-25 22:00:00,29,14,0.004,0.8,0.002,0.052,37.452386,126.908333
5,2020-12-25 21:00:00,32,16,0.004,0.8,0.004,0.048,37.452386,126.908333
6,2020-12-25 20:00:00,36,20,0.003,0.6,0.006,0.045,37.452386,126.908333
7,2020-12-25 19:00:00,32,15,0.004,0.6,0.011,0.040,37.452386,126.908333
8,2020-12-25 18:00:00,33,16,0.004,0.4,0.024,0.023,37.452386,126.908333
9,2020-12-25 17:00:00,29,11,0.004,0.4,0.028,0.019,37.452386,126.908333
10,2020-12-25 16:00:00,20,7,0.004,0.4,0.031,0.014,37.452386,126.908333
11,2020-12-25 15:00:00,21,6,0.004,0.4,0.033,0.012,37.452386,126.908333
12,2020-12-25 14:00:00,24,11,0.004,0.4,0.033,0.012,37.452386,126.908333
13,2020-12-25 13:00:00,35,23,0.004,0.4,0.030,0.014,37.452386,126.908333
14,2020-12-25 12:00:00,37,25,0.004,0.5,0.022,0.025,37.452386,126.908333
15,2020-12-25 11:00:00,29,19,0.005,0.5,0.021,0.024,37.452386,126.908333
16,2020-12-25 10:00:00,25,17,0.004,0.5,0.017,0.026,37.452386,126.908333
17,2020-12-25 09:00:00,31,20,0.004,0.6,0.010,0.035,37.452386,126.908333
18,2020-12-25 08:00:00,30,17,0.004,0.5,0.016,0.028,37.452386,126.908333
19,2020-12-25 07:00:00,32,20,0.004,0.5,0.017,0.026,37.452386,126.908333
20,2020-12-25 06:00:00,28,17,0.003,0.5,0.022,0.021,37.452386,126.908333
21,2020-12-25 05:00:00,27,18,0.003,0.5,0.027,0.016,37.452386,126.908333
22,2020-12-25 04:00:00,24,17,0.003,0.5,0.019,0.022,37.452386,126.908333
23,2020-12-25 03:00:00,26,16,0.003,0.5,0.020,0.022,37.452386,126.908333
24,2020-12-25 02:00:00,30,19,0.003,0.5,0.022,0.023,37.452386,126.908333
25,2020-12-25 01:00:00,29,18,0.003,0.5,0.025,0.019,37.452386,126.908333
26,,22,13,0.003,0.4,0.027,0.017,37.452386,126.908333
27,2020-12-24 23:00:00,25,16,0.004,0.4,0.022,0.024,37.452386,126.908333
28,2020-12-24 22:00:00,22,12,0.004,0.5,0.022,0.027,37.452386,126.908333
29,2020-12-24 21:00:00,26,14,0.005,0.5,0.020,0.028,37.452386,126.908333
30,2020-12-24 20:00:00,25,12,0.004,0.5,0.020,0.029,37.452386,126.908333
31,2020-12-24 19:00:00,31,12,0.004,0.5,0.019,0.033,37.452386,126.908333
32,2020-12-24 18:00:00,37,15,0.004,0.4,0.024,0.028,37.452386,126.908333
33,2020-12-24 17:00:00,38,15,0.004,0.4,0.029,0.023,37.452386,126.908333
34,2020-12-24 16:00:00,43,14,0.004,0.4,0.034,0.019,37.452386,126.908333
35,2020-12-24 15:00:00,59,18,0.004,0.4,0.036,0.018,37.452386,126.908333
36,2020-12-24 14:00:00,58,19,0.004,0.4,0.034,0.019,37.452386,126.908333
37,2020-12-24 13:00:00,69,28,0.004,0.4,0.033,0.018,37.452386,126.908333
38,2020-12-24 12:00:00,89,49,0.005,0.7,0.027,0.025,37.452386,126.908333
39,2020-12-24 11:00:00,92,54,0.005,0.9,0.012,0.041,37.452386,126.908333
40,2020-12-24 10:00:00,78,51,0.005,1.1,0.008,0.045,37.452386,126.908333
