,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,32,20,0.006,0.9,0.002,0.049,37.657415,127.067876
1,2020-12-26 01:00:00,37,23,0.005,0.9,0.002,0.050,37.657415,127.067876
2,,36,21,0.005,1.0,0.002,0.051,37.657415,127.067876
3,2020-12-25 23:00:00,37,21,0.006,1.0,0.002,0.051,37.657415,127.067876
4,2020-12-25 22:00:00,36,20,0.006,1.0,0.002,0.050,37.657415,127.067876
5,2020-12-25 21:00:00,38,23,0.006,1.0,0.002,0.051,37.657415,127.067876
6,2020-12-25 20:00:00,35,19,0.006,0.9,0.004,0.050,37.657415,127.067876
7,2020-12-25 19:00:00,32,20,0.004,0.5,0.018,0.031,37.657415,127.067876
8,2020-12-25 18:00:00,29,18,0.004,0.4,0.028,0.018,37.657415,127.067876
9,2020-12-25 17:00:00,28,17,0.003,0.4,0.034,0.014,37.657415,127.067876
10,2020-12-25 16:00:00,25,12,0.004,0.4,0.036,0.010,37.657415,127.067876
11,2020-12-25 15:00:00,30,16,0.004,0.4,0.037,0.009,37.657415,127.067876
12,2020-12-25 14:00:00,29,15,0.004,0.4,0.035,0.011,37.657415,127.067876
13,2020-12-25 13:00:00,29,20,0.004,0.4,0.032,0.013,37.657415,127.067876
14,2020-12-25 12:00:00,31,20,0.004,0.4,0.035,0.010,37.657415,127.067876
15,2020-12-25 11:00:00,33,21,0.004,0.5,0.028,0.018,37.657415,127.067876
16,2020-12-25 10:00:00,31,18,0.005,0.6,0.016,0.029,37.657415,127.067876
17,2020-12-25 09:00:00,34,21,0.005,0.8,0.007,0.040,37.657415,127.067876
18,2020-12-25 08:00:00,29,20,0.004,0.5,0.024,0.017,37.657415,127.067876
19,2020-12-25 07:00:00,31,20,0.004,0.5,0.026,0.015,37.657415,127.067876
20,2020-12-25 06:00:00,28,18,0.004,0.5,0.030,0.011,37.657415,127.067876
21,2020-12-25 05:00:00,29,22,0.004,0.5,0.023,0.018,37.657415,127.067876
22,2020-12-25 04:00:00,30,18,0.004,0.5,0.023,0.020,37.657415,127.067876
23,2020-12-25 03:00:00,25,18,0.004,0.4,0.032,0.012,37.657415,127.067876
24,2020-12-25 02:00:00,25,16,0.004,0.4,0.032,0.013,37.657415,127.067876
25,2020-12-25 01:00:00,24,15,0.003,0.4,0.031,0.014,37.657415,127.067876
26,,22,14,0.003,0.4,0.030,0.016,37.657415,127.067876
27,2020-12-24 23:00:00,24,14,0.003,0.4,0.029,0.015,37.657415,127.067876
28,2020-12-24 22:00:00,21,13,0.003,0.4,0.029,0.016,37.657415,127.067876
29,2020-12-24 21:00:00,22,13,0.003,0.4,0.030,0.017,37.657415,127.067876
30,2020-12-24 20:00:00,25,14,0.003,0.4,0.028,0.020,37.657415,127.067876
31,2020-12-24 19:00:00,31,17,0.003,0.4,0.029,0.019,37.657415,127.067876
32,2020-12-24 18:00:00,34,16,0.004,0.3,0.033,0.017,37.657415,127.067876
33,2020-12-24 17:00:00,40,18,0.003,0.3,0.036,0.015,37.657415,127.067876
34,2020-12-24 16:00:00,53,22,0.004,0.4,0.038,0.015,37.657415,127.067876
35,2020-12-24 15:00:00,51,24,0.004,0.4,0.039,0.015,37.657415,127.067876
36,2020-12-24 14:00:00,57,22,0.004,0.4,0.040,0.013,37.657415,127.067876
37,2020-12-24 13:00:00,67,29,0.004,0.4,0.038,0.015,37.657415,127.067876
38,2020-12-24 12:00:00,85,48,0.005,0.6,0.033,0.018,37.657415,127.067876
39,2020-12-24 11:00:00,99,64,0.005,0.8,0.026,0.024,37.657415,127.067876
