,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,27,20,0.003,0.3,0.024,0.016,37.654278,127.029333
1,2020-12-02 12:00,28,17,0.003,0.4,0.019,0.020,37.654278,127.029333
2,2020-12-02 11:00,41,24,0.004,0.5,0.013,0.025,37.654278,127.029333
3,2020-12-02 10:00,48,27,0.004,0.6,0.008,0.030,37.654278,127.029333
4,2020-12-02 09:00,45,27,0.004,0.6,0.006,0.032,37.654278,127.029333
5,2020-12-02 08:00,37,20,0.004,0.6,0.006,0.032,37.654278,127.029333
6,2020-12-02 07:00,37,22,0.003,0.5,0.013,0.023,37.654278,127.029333
7,2020-12-02 06:00,36,21,0.003,0.5,0.019,0.016,37.654278,127.029333
8,2020-12-02 05:00,39,29,0.003,0.5,0.015,0.020,37.654278,127.029333
9,2020-12-02 04:00,38,24,0.003,0.5,0.014,0.020,37.654278,127.029333
10,2020-12-02 03:00,30,21,0.003,0.5,0.013,0.023,37.654278,127.029333
11,2020-12-02 02:00,29,19,0.003,0.4,0.013,0.024,37.654278,127.029333
12,2020-12-02 01:00,33,22,0.003,0.5,0.009,0.029,37.654278,127.029333
13,2020-12-01 24:00,33,19,0.003,0.5,0.003,0.040,37.654278,127.029333
14,2020-12-01 23:00,31,16,0.003,0.5,0.003,0.042,37.654278,127.029333
15,2020-12-01 22:00,28,16,0.002,0.5,0.004,0.039,37.654278,127.029333
16,2020-12-01 21:00,28,15,0.002,0.4,0.006,0.036,37.654278,127.029333
17,2020-12-01 20:00,20,17,0.002,0.4,0.012,0.029,37.654278,127.029333
18,2020-12-01 19:00,19,15,0.002,0.3,0.021,0.019,37.654278,127.029333
19,2020-12-01 18:00,14,13,0.002,0.3,0.028,0.012,37.654278,127.029333
20,2020-12-01 17:00,13,5,0.002,0.2,0.032,0.007,37.654278,127.029333
21,2020-12-01 16:00,7,4,0.002,0.2,0.031,0.010,37.654278,127.029333
22,2020-12-01 15:00,12,6,0.002,0.2,0.032,0.010,37.654278,127.029333
23,2020-12-01 14:00,25,15,0.003,0.3,0.029,0.013,37.654278,127.029333
24,2020-12-01 13:00,30,17,0.003,0.4,0.022,0.018,37.654278,127.029333
25,2020-12-01 12:00,23,19,0.003,0.3,0.025,0.014,37.654278,127.029333
26,2020-12-01 11:00,29,21,0.004,0.4,0.022,0.017,37.654278,127.029333
27,2020-12-01 10:00,45,29,0.004,0.6,0.011,0.028,37.654278,127.029333
28,2020-12-01 09:00,43,28,0.003,0.6,0.008,0.028,37.654278,127.029333
29,2020-12-01 08:00,43,31,0.003,0.6,0.004,0.034,37.654278,127.029333
30,2020-12-01 07:00,39,27,0.003,0.5,0.009,0.025,37.654278,127.029333
31,2020-12-01 06:00,35,25,0.003,0.5,0.007,0.027,37.654278,127.029333
32,2020-12-01 05:00,31,20,0.003,0.5,0.014,0.021,37.654278,127.029333
33,2020-12-01 04:00,30,19,0.003,0.4,0.016,0.019,37.654278,127.029333
34,2020-12-01 03:00,25,17,0.003,0.4,0.023,0.013,37.654278,127.029333
35,2020-12-01 02:00,26,19,0.003,0.4,0.016,0.023,37.654278,127.029333
