,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,39,29,0.003,0.7,0.009,0.040,37.576169,127.029642
1,2020-12-02 12:00,36,26,0.003,0.7,0.009,0.040,37.576169,127.029642
2,2020-12-02 11:00,37,26,0.003,0.7,0.008,0.039,37.576169,127.029642
3,2020-12-02 10:00,37,25,0.003,0.7,0.005,0.041,37.576169,127.029642
4,2020-12-02 09:00,35,26,0.004,0.7,0.006,0.037,37.576169,127.029642
5,2020-12-02 08:00,32,23,0.004,0.6,0.004,0.039,37.576169,127.029642
6,2020-12-02 07:00,32,25,0.004,0.6,0.009,0.032,37.576169,127.029642
7,2020-12-02 06:00,32,23,0.003,0.5,0.014,0.023,37.576169,127.029642
8,2020-12-02 05:00,31,22,0.003,0.5,0.013,0.024,37.576169,127.029642
9,2020-12-02 04:00,27,19,0.003,0.5,0.014,0.023,37.576169,127.029642
10,2020-12-02 03:00,26,19,0.003,0.5,0.014,0.025,37.576169,127.029642
11,2020-12-02 02:00,25,16,0.003,0.5,0.012,0.029,37.576169,127.029642
12,2020-12-02 01:00,28,18,0.003,0.5,0.008,0.035,37.576169,127.029642
13,2020-12-01 24:00,26,18,0.003,0.6,0.004,0.041,37.576169,127.029642
14,2020-12-01 23:00,25,19,0.002,0.5,0.007,0.038,37.576169,127.029642
15,2020-12-01 22:00,23,16,0.003,0.6,0.007,0.038,37.576169,127.029642
16,2020-12-01 21:00,23,17,0.003,0.5,0.010,0.033,37.576169,127.029642
17,2020-12-01 20:00,19,14,0.003,0.5,0.009,0.035,37.576169,127.029642
18,2020-12-01 19:00,11,11,0.003,0.5,0.009,0.035,37.576169,127.029642
19,2020-12-01 18:00,-,-,-,-,-,-,37.576169,127.029642
20,2020-12-01 17:00,-,-,-,-,-,-,37.576169,127.029642
21,2020-12-01 16:00,-,-,-,-,-,-,37.576169,127.029642
22,2020-12-01 15:00,22,17,0.003,0.4,0.021,0.025,37.576169,127.029642
23,2020-12-01 14:00,24,19,0.003,0.4,0.022,0.021,37.576169,127.029642
