,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,41,20,0.003,0.4,0.017,0.028,37.480989,126.971547
1,2020-12-02 12:00,51,25,0.004,0.6,0.008,0.040,37.480989,126.971547
2,2020-12-02 11:00,51,24,0.004,0.7,0.006,0.041,37.480989,126.971547
3,2020-12-02 10:00,46,23,0.003,0.6,0.004,0.043,37.480989,126.971547
4,2020-12-02 09:00,47,25,0.003,0.6,0.004,0.042,37.480989,126.971547
5,2020-12-02 08:00,44,22,0.003,0.6,0.003,0.042,37.480989,126.971547
6,2020-12-02 07:00,42,24,0.003,0.6,0.004,0.039,37.480989,126.971547
7,2020-12-02 06:00,39,21,0.003,0.5,0.008,0.034,37.480989,126.971547
8,2020-12-02 05:00,40,19,0.003,0.5,0.014,0.025,37.480989,126.971547
9,2020-12-02 04:00,40,21,0.003,0.4,0.016,0.023,37.480989,126.971547
10,2020-12-02 03:00,42,22,0.003,0.5,0.009,0.032,37.480989,126.971547
11,2020-12-02 02:00,41,21,0.003,0.5,0.004,0.041,37.480989,126.971547
12,2020-12-02 01:00,41,21,0.003,0.5,0.007,0.038,37.480989,126.971547
13,2020-12-01 24:00,35,17,0.003,0.5,0.011,0.034,37.480989,126.971547
14,2020-12-01 23:00,37,21,0.003,0.5,0.008,0.040,37.480989,126.971547
15,2020-12-01 22:00,34,18,0.003,0.5,0.005,0.045,37.480989,126.971547
16,2020-12-01 21:00,32,17,0.003,0.5,0.006,0.043,37.480989,126.971547
17,2020-12-01 20:00,34,19,0.003,0.5,0.009,0.039,37.480989,126.971547
18,2020-12-01 19:00,37,20,0.003,0.5,0.009,0.039,37.480989,126.971547
19,2020-12-01 18:00,29,16,0.003,0.4,0.012,0.034,37.480989,126.971547
20,2020-12-01 17:00,20,12,0.003,0.3,0.020,0.024,37.480989,126.971547
21,2020-12-01 16:00,22,13,0.002,0.3,0.024,0.020,37.480989,126.971547
22,2020-12-01 15:00,35,19,0.003,0.3,0.026,0.021,37.480989,126.971547
23,2020-12-01 14:00,31,17,0.003,0.4,0.019,0.026,37.480989,126.971547
24,2020-12-01 13:00,40,26,0.003,0.5,0.016,0.032,37.480989,126.971547
25,2020-12-01 12:00,41,23,0.003,0.5,0.014,0.035,37.480989,126.971547
26,2020-12-01 11:00,45,23,0.003,0.6,0.012,0.036,37.480989,126.971547
27,2020-12-01 10:00,41,19,0.004,0.6,0.009,0.037,37.480989,126.971547
28,2020-12-01 09:00,39,17,0.003,0.7,0.005,0.045,37.480989,126.971547
29,2020-12-01 08:00,37,20,0.003,0.6,0.002,0.048,37.480989,126.971547
30,2020-12-01 07:00,32,19,0.003,0.5,0.006,0.039,37.480989,126.971547
31,2020-12-01 06:00,35,20,0.003,0.4,0.014,0.026,37.480989,126.971547
32,2020-12-01 05:00,40,24,0.003,0.4,0.019,0.021,37.480989,126.971547
33,2020-12-01 04:00,41,24,0.003,0.5,0.017,0.021,37.480989,126.971547
34,2020-12-01 03:00,44,29,0.003,0.5,0.016,0.024,37.480989,126.971547
35,2020-12-01 02:00,47,27,0.003,0.5,0.015,0.026,37.480989,126.971547
36,2020-12-01 01:00,43,26,0.003,0.5,0.013,0.030,37.480989,126.971547
37,2020-11-30 24:00,42,25,0.003,0.5,0.015,0.029,37.480989,126.971547
38,2020-11-30 23:00,45,26,0.003,0.5,0.017,0.027,37.480989,126.971547
39,2020-11-30 22:00,39,22,0.003,0.6,0.011,0.035,37.480989,126.971547
40,2020-11-30 21:00,34,20,0.003,0.5,0.013,0.034,37.480989,126.971547
41,2020-11-30 20:00,34,19,0.003,0.4,0.018,0.027,37.480989,126.971547
42,2020-11-30 19:00,39,24,0.003,0.5,0.013,0.034,37.480989,126.971547
43,2020-11-30 18:00,37,23,0.003,0.5,0.021,0.024,37.480989,126.971547
44,2020-11-30 17:00,36,23,0.003,0.4,0.028,0.017,37.480989,126.971547
45,2020-11-30 16:00,39,25,0.003,0.4,0.026,0.020,37.480989,126.971547
46,2020-11-30 15:00,39,26,0.004,0.4,0.027,0.020,37.480989,126.971547
47,2020-11-30 14:00,36,22,0.003,0.4,0.027,0.016,37.480989,126.971547
48,2020-11-30 13:00,37,24,0.004,0.5,0.020,0.022,37.480989,126.971547
49,2020-11-30 12:00,37,23,0.004,0.4,0.022,0.018,37.480989,126.971547
50,2020-11-30 11:00,34,20,0.004,0.4,0.021,0.018,37.480989,126.971547
51,2020-11-30 10:00,27,13,0.004,0.5,0.014,0.028,37.480989,126.971547
52,2020-11-30 09:00,26,10,0.003,0.6,0.007,0.043,37.480989,126.971547
53,2020-11-30 08:00,24,13,0.003,0.6,0.003,0.046,37.480989,126.971547
