,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,34,23,0.003,0.5,0.022,0.022,37.55561,126.905457
1,2020-12-02 12:00,39,24,0.004,0.5,0.015,0.027,37.55561,126.905457
2,2020-12-02 11:00,45,27,0.005,0.6,0.007,0.038,37.55561,126.905457
3,2020-12-02 10:00,41,24,0.004,0.6,0.005,0.041,37.55561,126.905457
4,2020-12-02 09:00,40,23,0.004,0.6,0.003,0.041,37.55561,126.905457
5,2020-12-02 08:00,36,22,0.004,0.6,0.002,0.041,37.55561,126.905457
6,2020-12-02 07:00,38,24,0.004,0.6,0.003,0.036,37.55561,126.905457
7,2020-12-02 06:00,34,21,0.004,0.6,0.004,0.034,37.55561,126.905457
8,2020-12-02 05:00,34,20,0.003,0.6,0.011,0.027,37.55561,126.905457
9,2020-12-02 04:00,33,20,0.003,0.6,0.009,0.030,37.55561,126.905457
10,2020-12-02 03:00,35,22,0.004,0.6,0.007,0.034,37.55561,126.905457
11,2020-12-02 02:00,35,21,0.004,0.6,0.005,0.038,37.55561,126.905457
12,2020-12-02 01:00,35,21,0.004,0.6,0.003,0.041,37.55561,126.905457
13,2020-12-01 24:00,36,20,0.003,0.6,0.002,0.045,37.55561,126.905457
14,2020-12-01 23:00,35,21,0.004,0.6,0.002,0.050,37.55561,126.905457
15,2020-12-01 22:00,34,18,0.004,0.6,0.002,0.049,37.55561,126.905457
16,2020-12-01 21:00,35,19,0.003,0.6,0.002,0.050,37.55561,126.905457
17,2020-12-01 20:00,30,16,0.003,0.6,0.002,0.051,37.55561,126.905457
18,2020-12-01 19:00,30,17,0.003,0.6,0.004,0.049,37.55561,126.905457
19,2020-12-01 18:00,29,18,0.003,0.6,0.007,0.044,37.55561,126.905457
20,2020-12-01 17:00,19,11,0.003,0.4,0.019,0.026,37.55561,126.905457
21,2020-12-01 16:00,14,6,0.003,0.3,0.024,0.020,37.55561,126.905457
22,2020-12-01 15:00,16,10,0.003,0.3,0.027,0.016,37.55561,126.905457
23,2020-12-01 14:00,28,15,0.003,0.4,0.025,0.021,37.55561,126.905457
24,2020-12-01 13:00,32,22,0.004,0.5,0.020,0.027,37.55561,126.905457
