,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,33,13,0.004,0.8,0.022,0.019,37.593749,126.949534
1,2020-12-02 12:00,28,11,0.005,0.9,0.015,0.025,37.593749,126.949534
2,2020-12-02 11:00,36,13,0.005,0.9,0.010,0.031,37.593749,126.949534
3,2020-12-02 10:00,33,13,0.005,1.0,0.006,0.034,37.593749,126.949534
4,2020-12-02 09:00,38,17,0.005,1.1,0.003,0.038,37.593749,126.949534
5,2020-12-02 08:00,33,13,0.007,1.2,0.002,0.036,37.593749,126.949534
6,2020-12-02 07:00,41,21,0.009,1.3,0.003,0.035,37.593749,126.949534
7,2020-12-02 06:00,27,8,0.007,1.2,0.005,0.029,37.593749,126.949534
8,2020-12-02 05:00,21,8,0.004,0.9,0.010,0.024,37.593749,126.949534
9,2020-12-02 04:00,21,8,0.005,0.9,0.014,0.020,37.593749,126.949534
10,2020-12-02 03:00,27,12,0.004,0.8,0.011,0.024,37.593749,126.949534
11,2020-12-02 02:00,22,12,0.008,1.3,0.009,0.029,37.593749,126.949534
12,2020-12-02 01:00,24,14,0.006,1.0,0.009,0.031,37.593749,126.949534
13,2020-12-01 24:00,22,12,0.005,0.8,0.016,0.023,37.593749,126.949534
14,2020-12-01 23:00,31,11,0.006,1.0,0.008,0.034,37.593749,126.949534
15,2020-12-01 22:00,19,13,0.009,1.4,0.004,0.040,37.593749,126.949534
16,2020-12-01 21:00,27,11,0.007,1.1,0.008,0.035,37.593749,126.949534
17,2020-12-01 20:00,25,11,0.005,0.9,0.011,0.033,37.593749,126.949534
18,2020-12-01 19:00,27,12,0.007,1.1,0.007,0.037,37.593749,126.949534
19,2020-12-01 18:00,30,10,0.004,0.8,0.013,0.030,37.593749,126.949534
20,2020-12-01 17:00,15,7,0.004,0.7,0.020,0.022,37.593749,126.949534
21,2020-12-01 16:00,13,5,0.003,0.6,0.026,0.016,37.593749,126.949534
22,2020-12-01 15:00,10,8,0.004,0.7,0.029,0.014,37.593749,126.949534
23,2020-12-01 14:00,27,12,0.004,0.8,0.027,0.017,37.593749,126.949534
24,2020-12-01 13:00,21,9,0.004,0.8,0.019,0.022,37.593749,126.949534
25,2020-12-01 12:00,22,9,0.004,0.8,0.017,0.024,37.593749,126.949534
26,2020-12-01 11:00,28,9,0.006,1.0,0.011,0.033,37.593749,126.949534
27,2020-12-01 10:00,32,15,0.009,1.4,0.010,0.030,37.593749,126.949534
28,2020-12-01 09:00,28,12,0.008,1.6,0.004,0.040,37.593749,126.949534
29,2020-12-01 08:00,25,10,0.007,1.4,0.002,0.040,37.593749,126.949534
30,2020-12-01 07:00,19,9,0.009,1.4,0.005,0.033,37.593749,126.949534
31,2020-12-01 06:00,18,10,0.008,1.2,0.011,0.026,37.593749,126.949534
32,2020-12-01 05:00,23,10,0.008,1.1,0.023,0.013,37.593749,126.949534
33,2020-12-01 04:00,23,11,0.007,1.1,0.021,0.015,37.593749,126.949534
34,2020-12-01 03:00,24,14,0.006,1.2,0.015,0.022,37.593749,126.949534
35,2020-12-01 02:00,24,16,0.007,1.3,0.016,0.023,37.593749,126.949534
36,2020-12-01 01:00,30,15,0.005,1.0,0.018,0.020,37.593749,126.949534
37,2020-11-30 24:00,33,14,0.005,1.2,0.014,0.026,37.593749,126.949534
38,2020-11-30 23:00,31,11,0.004,1.0,0.019,0.022,37.593749,126.949534
39,2020-11-30 22:00,32,13,0.004,0.9,0.016,0.026,37.593749,126.949534
40,2020-11-30 21:00,36,17,0.004,0.9,0.011,0.031,37.593749,126.949534
41,2020-11-30 20:00,32,15,0.005,1.0,0.010,0.035,37.593749,126.949534
42,2020-11-30 19:00,32,17,0.007,1.3,0.007,0.038,37.593749,126.949534
43,2020-11-30 18:00,31,19,0.006,1.0,0.016,0.027,37.593749,126.949534
44,2020-11-30 17:00,26,12,0.004,0.8,0.025,0.018,37.593749,126.949534
45,2020-11-30 16:00,25,11,0.004,0.8,0.028,0.015,37.593749,126.949534
46,2020-11-30 15:00,21,10,0.004,0.8,0.030,0.012,37.593749,126.949534
47,2020-11-30 14:00,23,11,0.005,0.8,0.028,0.011,37.593749,126.949534
48,2020-11-30 13:00,33,14,0.005,0.9,0.023,0.015,37.593749,126.949534
49,2020-11-30 12:00,28,11,0.005,0.9,0.022,0.015,37.593749,126.949534
50,2020-11-30 11:00,23,8,0.005,0.8,0.025,0.011,37.593749,126.949534
51,2020-11-30 10:00,23,6,0.005,0.9,0.016,0.023,37.593749,126.949534
52,2020-11-30 09:00,19,6,0.007,1.4,0.008,0.032,37.593749,126.949534
53,2020-11-30 08:00,18,6,0.006,1.4,0.004,0.035,37.593749,126.949534
54,2020-11-30 07:00,12,6,0.006,1.3,0.004,0.034,37.593749,126.949534
55,2020-11-30 06:00,10,6,0.005,1.1,0.009,0.027,37.593749,126.949534
56,2020-11-30 05:00,15,12,0.006,1.2,0.011,0.022,37.593749,126.949534
57,2020-11-30 04:00,15,9,0.006,1.2,0.013,0.022,37.593749,126.949534
58,2020-11-30 03:00,16,6,0.006,1.1,0.013,0.021,37.593749,126.949534
59,2020-11-30 02:00,11,7,0.006,1.2,0.018,0.018,37.593749,126.949534
60,2020-11-30 01:00,8,7,0.006,1.1,0.023,0.013,37.593749,126.949534
61,2020-11-29 24:00,9,6,0.004,0.7,0.026,0.012,37.593749,126.949534
62,2020-11-29 23:00,10,4,0.004,0.7,0.028,0.010,37.593749,126.949534
63,2020-11-29 22:00,12,7,0.003,0.7,0.024,0.012,37.593749,126.949534
64,2020-11-29 21:00,13,8,0.003,0.7,0.023,0.013,37.593749,126.949534
65,2020-11-29 20:00,20,10,0.003,0.8,0.018,0.017,37.593749,126.949534
66,2020-11-29 19:00,22,12,0.004,0.8,0.018,0.020,37.593749,126.949534
67,2020-11-29 18:00,19,13,0.004,0.8,0.018,0.020,37.593749,126.949534
68,2020-11-29 17:00,20,9,0.004,0.7,0.024,0.014,37.593749,126.949534
69,2020-11-29 16:00,18,11,0.004,0.7,0.026,0.011,37.593749,126.949534
70,2020-11-29 15:00,26,13,0.004,0.7,0.025,0.012,37.593749,126.949534
71,2020-11-29 14:00,21,7,0.004,0.8,0.023,0.013,37.593749,126.949534
72,2020-11-29 13:00,28,7,0.004,0.8,0.019,0.015,37.593749,126.949534
73,2020-11-29 12:00,15,8,0.004,0.8,0.020,0.013,37.593749,126.949534
74,2020-11-29 11:00,25,9,0.004,0.8,0.016,0.020,37.593749,126.949534
75,2020-11-29 10:00,22,10,0.004,0.9,0.011,0.024,37.593749,126.949534
76,2020-11-29 09:00,22,11,0.004,0.9,0.007,0.030,37.593749,126.949534
77,2020-11-29 08:00,27,8,0.004,0.9,0.003,0.034,37.593749,126.949534
78,2020-11-29 07:00,22,8,0.005,0.9,0.006,0.028,37.593749,126.949534
79,2020-11-29 06:00,18,7,0.007,1.1,0.016,0.014,37.593749,126.949534
80,2020-11-29 05:00,17,6,0.006,1.0,0.018,0.013,37.593749,126.949534
81,2020-11-29 04:00,20,7,0.005,0.9,0.020,0.010,37.593749,126.949534
82,2020-11-29 03:00,17,6,0.003,0.7,0.020,0.011,37.593749,126.949534
83,2020-11-29 02:00,16,7,0.003,0.7,0.021,0.011,37.593749,126.949534
84,2020-11-29 01:00,18,6,0.003,0.7,0.020,0.013,37.593749,126.949534
85,2020-11-28 24:00,23,7,0.003,0.7,0.020,0.013,37.593749,126.949534
86,2020-11-28 23:00,16,9,0.004,0.7,0.023,0.011,37.593749,126.949534
87,2020-11-28 22:00,17,7,0.003,0.7,0.022,0.011,37.593749,126.949534
88,2020-11-28 21:00,15,6,0.003,0.6,0.024,0.010,37.593749,126.949534
89,2020-11-28 20:00,12,6,0.003,0.6,0.022,0.013,37.593749,126.949534
90,2020-11-28 19:00,10,6,0.003,0.6,0.022,0.015,37.593749,126.949534
91,2020-11-28 18:00,10,7,0.003,0.6,0.022,0.016,37.593749,126.949534
92,2020-11-28 17:00,9,2,0.003,0.6,0.026,0.012,37.593749,126.949534
93,2020-11-28 16:00,10,1,0.003,0.6,0.030,0.008,37.593749,126.949534
94,2020-11-28 15:00,10,1,0.003,0.6,0.030,0.007,37.593749,126.949534
95,2020-11-28 14:00,13,3,0.003,0.6,0.030,0.006,37.593749,126.949534
96,2020-11-28 13:00,10,3,0.003,0.6,0.028,0.008,37.593749,126.949534
97,2020-11-28 12:00,15,5,0.004,0.7,0.024,0.010,37.593749,126.949534
98,2020-11-28 11:00,16,6,0.004,0.7,0.021,0.011,37.593749,126.949534
99,2020-11-28 10:00,20,10,0.004,0.7,0.015,0.015,37.593749,126.949534
