,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,37,18,0.004,0.5,0.012,0.036,37.504547,126.994611
1,2020-12-02 12:00,48,28,0.005,0.6,0.007,0.044,37.504547,126.994611
2,2020-12-02 11:00,48,25,0.005,0.7,0.006,0.044,37.504547,126.994611
3,2020-12-02 10:00,43,22,0.005,0.6,0.005,0.044,37.504547,126.994611
4,2020-12-02 09:00,35,22,0.004,0.6,0.004,0.044,37.504547,126.994611
5,2020-12-02 08:00,37,23,0.004,0.6,0.003,0.044,37.504547,126.994611
6,2020-12-02 07:00,35,21,0.004,0.6,0.003,0.042,37.504547,126.994611
7,2020-12-02 06:00,33,20,0.004,0.5,0.005,0.039,37.504547,126.994611
8,2020-12-02 05:00,33,22,0.004,0.5,0.009,0.033,37.504547,126.994611
9,2020-12-02 04:00,30,19,0.004,0.5,0.013,0.027,37.504547,126.994611
10,2020-12-02 03:00,35,19,0.004,0.5,0.009,0.034,37.504547,126.994611
11,2020-12-02 02:00,38,18,0.004,0.5,0.005,0.041,37.504547,126.994611
12,2020-12-02 01:00,34,20,0.004,0.5,0.007,0.038,37.504547,126.994611
13,2020-12-01 24:00,32,14,0.004,0.4,0.009,0.037,37.504547,126.994611
14,2020-12-01 23:00,32,20,0.004,0.5,0.008,0.040,37.504547,126.994611
15,2020-12-01 22:00,34,18,0.004,0.5,0.004,0.047,37.504547,126.994611
16,2020-12-01 21:00,33,19,0.004,0.5,0.007,0.043,37.504547,126.994611
17,2020-12-01 20:00,30,12,0.004,0.4,0.014,0.032,37.504547,126.994611
18,2020-12-01 19:00,30,16,0.004,0.4,0.011,0.036,37.504547,126.994611
19,2020-12-01 18:00,27,12,0.003,0.4,0.013,0.033,37.504547,126.994611
20,2020-12-01 17:00,24,11,0.003,0.3,0.022,0.023,37.504547,126.994611
21,2020-12-01 16:00,21,8,0.003,0.3,0.024,0.023,37.504547,126.994611
22,2020-12-01 15:00,25,14,0.004,0.4,0.023,0.026,37.504547,126.994611
23,2020-12-01 14:00,31,20,0.004,0.4,0.017,0.032,37.504547,126.994611
24,2020-12-01 13:00,38,22,0.004,0.5,0.013,0.039,37.504547,126.994611
25,2020-12-01 12:00,37,26,0.005,0.6,0.013,0.038,37.504547,126.994611
26,2020-12-01 11:00,36,16,0.005,0.6,0.013,0.037,37.504547,126.994611
