,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,26,15,0.003,0.7,0.003,0.044,37.542036,127.049685
1,2020-12-26 01:00:00,27,17,0.003,0.7,0.002,0.046,37.542036,127.049685
2,,24,13,0.003,0.7,0.002,0.047,37.542036,127.049685
3,2020-12-25 23:00:00,23,12,0.003,0.6,0.005,0.046,37.542036,127.049685
4,2020-12-25 22:00:00,25,13,0.003,0.6,0.004,0.046,37.542036,127.049685
5,2020-12-25 21:00:00,26,13,0.003,0.6,0.007,0.043,37.542036,127.049685
6,2020-12-25 20:00:00,24,12,0.003,0.5,0.008,0.040,37.542036,127.049685
7,2020-12-25 19:00:00,23,12,0.003,0.4,0.020,0.029,37.542036,127.049685
8,2020-12-25 18:00:00,23,11,0.003,0.4,0.027,0.024,37.542036,127.049685
9,2020-12-25 17:00:00,23,10,0.003,0.3,0.035,0.019,37.542036,127.049685
10,2020-12-25 16:00:00,23,11,0.003,0.3,0.036,0.017,37.542036,127.049685
11,2020-12-25 15:00:00,23,11,0.003,0.3,0.038,0.016,37.542036,127.049685
12,2020-12-25 14:00:00,23,12,0.004,0.3,0.036,0.020,37.542036,127.049685
13,2020-12-25 13:00:00,27,13,0.004,0.3,0.032,0.024,37.542036,127.049685
14,2020-12-25 12:00:00,27,14,0.004,0.4,0.028,0.028,37.542036,127.049685
15,2020-12-25 11:00:00,26,15,0.004,0.4,0.024,0.030,37.542036,127.049685
16,2020-12-25 10:00:00,24,14,0.004,0.4,0.022,0.030,37.542036,127.049685
17,2020-12-25 09:00:00,24,19,0.004,0.4,0.016,0.031,37.542036,127.049685
18,2020-12-25 08:00:00,25,18,0.004,0.5,0.017,0.026,37.542036,127.049685
19,2020-12-25 07:00:00,26,19,0.004,0.5,0.027,0.019,37.542036,127.049685
20,2020-12-25 06:00:00,23,16,0.003,0.5,0.031,0.016,37.542036,127.049685
21,2020-12-25 05:00:00,25,16,0.003,0.4,0.034,0.016,37.542036,127.049685
22,2020-12-25 04:00:00,22,15,0.004,0.4,0.034,0.017,37.542036,127.049685
23,2020-12-25 03:00:00,20,15,0.003,0.4,0.031,0.019,37.542036,127.049685
24,2020-12-25 02:00:00,20,14,0.003,0.4,0.032,0.017,37.542036,127.049685
25,2020-12-25 01:00:00,21,14,0.003,0.4,0.034,0.017,37.542036,127.049685
26,,19,13,0.003,0.4,0.032,0.019,37.542036,127.049685
27,2020-12-24 23:00:00,18,12,0.003,0.5,0.024,0.024,37.542036,127.049685
28,2020-12-24 22:00:00,18,11,0.003,0.4,0.024,0.024,37.542036,127.049685
29,2020-12-24 21:00:00,20,12,0.003,0.4,0.026,0.025,37.542036,127.049685
30,2020-12-24 20:00:00,21,11,0.003,0.4,0.021,0.030,37.542036,127.049685
31,2020-12-24 19:00:00,24,10,0.003,0.4,0.024,0.029,37.542036,127.049685
32,2020-12-24 18:00:00,31,15,0.003,0.3,0.027,0.030,37.542036,127.049685
33,2020-12-24 17:00:00,39,19,0.003,0.3,0.033,0.025,37.542036,127.049685
34,2020-12-24 16:00:00,44,20,0.004,0.4,0.037,0.024,37.542036,127.049685
35,2020-12-24 15:00:00,43,17,0.003,0.3,0.039,0.022,37.542036,127.049685
36,2020-12-24 14:00:00,44,16,0.004,0.3,0.039,0.022,37.542036,127.049685
37,2020-12-24 13:00:00,68,30,0.004,0.4,0.036,0.026,37.542036,127.049685
38,2020-12-24 12:00:00,80,51,0.005,0.7,0.027,0.038,37.542036,127.049685
39,2020-12-24 11:00:00,81,54,0.005,0.8,0.014,0.045,37.542036,127.049685
40,2020-12-24 10:00:00,76,50,0.005,0.8,0.008,0.046,37.542036,127.049685
41,2020-12-24 09:00:00,80,53,0.004,0.8,0.005,0.046,37.542036,127.049685
42,2020-12-24 08:00:00,88,62,0.004,0.8,0.004,0.050,37.542036,127.049685
43,2020-12-24 07:00:00,102,74,0.004,0.8,0.010,0.049,37.542036,127.049685
44,2020-12-24 06:00:00,89,67,0.004,0.7,0.025,0.040,37.542036,127.049685
45,2020-12-24 05:00:00,77,59,0.003,0.7,0.030,0.039,37.542036,127.049685
46,2020-12-24 04:00:00,67,50,0.003,0.6,0.025,0.045,37.542036,127.049685
47,2020-12-24 03:00:00,66,51,0.003,0.6,0.027,0.043,37.542036,127.049685
48,2020-12-24 02:00:00,67,52,0.003,0.7,0.024,0.046,37.542036,127.049685
49,2020-12-24 01:00:00,72,53,0.003,0.7,0.020,0.053,37.542036,127.049685
50,,71,57,0.003,0.8,0.008,0.063,37.542036,127.049685
51,2020-12-23 23:00:00,74,55,0.004,0.8,0.012,0.061,37.542036,127.049685
52,2020-12-23 22:00:00,72,57,0.004,0.8,0.014,0.058,37.542036,127.049685
53,2020-12-23 21:00:00,73,59,0.004,0.8,0.023,0.052,37.542036,127.049685
54,2020-12-23 20:00:00,70,56,0.003,0.7,0.023,0.054,37.542036,127.049685
55,2020-12-23 19:00:00,68,54,0.004,0.7,0.027,0.056,37.542036,127.049685
56,2020-12-23 18:00:00,60,47,0.004,0.6,0.026,0.058,37.542036,127.049685
57,2020-12-23 17:00:00,61,44,0.004,0.6,0.037,0.047,37.542036,127.049685
58,2020-12-23 16:00:00,63,48,0.005,0.6,0.037,0.047,37.542036,127.049685
59,2020-12-23 15:00:00,82,63,0.005,0.6,0.029,0.060,37.542036,127.049685
60,2020-12-23 14:00:00,89,71,0.007,0.9,0.006,0.075,37.542036,127.049685
61,2020-12-23 13:00:00,84,66,0.007,1.0,0.005,0.069,37.542036,127.049685
62,2020-12-23 12:00:00,74,58,0.007,0.9,0.004,0.066,37.542036,127.049685
63,2020-12-23 11:00:00,78,60,0.006,1.3,0.003,0.064,37.542036,127.049685
64,2020-12-23 10:00:00,64,51,0.005,1.3,0.002,0.061,37.542036,127.049685
65,2020-12-23 09:00:00,60,48,0.004,0.9,0.003,0.057,37.542036,127.049685
66,2020-12-23 08:00:00,55,44,0.004,0.9,0.002,0.059,37.542036,127.049685
67,2020-12-23 07:00:00,55,42,0.004,1.0,0.002,0.054,37.542036,127.049685
68,2020-12-23 06:00:00,48,40,0.004,1.0,0.002,0.056,37.542036,127.049685
69,2020-12-23 05:00:00,50,39,0.004,1.1,0.002,0.059,37.542036,127.049685
70,2020-12-23 04:00:00,49,38,0.004,1.1,0.002,0.060,37.542036,127.049685
71,2020-12-23 03:00:00,49,37,0.004,1.0,0.002,0.061,37.542036,127.049685
72,2020-12-23 02:00:00,47,35,0.004,0.9,0.002,0.063,37.542036,127.049685
73,2020-12-23 01:00:00,46,32,0.004,1.1,0.002,0.067,37.542036,127.049685
74,,42,31,0.004,1.0,0.002,0.069,37.542036,127.049685
75,2020-12-22 23:00:00,43,31,0.004,1.0,0.003,0.067,37.542036,127.049685
76,2020-12-22 22:00:00,44,30,0.004,0.9,0.002,0.068,37.542036,127.049685
77,2020-12-22 21:00:00,45,32,0.004,0.9,0.002,0.067,37.542036,127.049685
78,2020-12-22 20:00:00,41,32,0.004,0.9,0.004,0.067,37.542036,127.049685
79,2020-12-22 19:00:00,43,31,0.004,0.8,0.003,0.066,37.542036,127.049685
80,2020-12-22 18:00:00,38,28,0.005,0.6,0.010,0.054,37.542036,127.049685
81,2020-12-22 17:00:00,37,28,0.005,0.5,0.033,0.038,37.542036,127.049685
82,2020-12-22 16:00:00,40,30,0.005,0.5,0.033,0.039,37.542036,127.049685
83,2020-12-22 15:00:00,43,31,0.005,0.5,0.034,0.039,37.542036,127.049685
84,2020-12-22 14:00:00,55,43,0.005,0.5,0.026,0.049,37.542036,127.049685
85,2020-12-22 13:00:00,62,46,0.005,0.8,0.007,0.062,37.542036,127.049685
86,2020-12-22 12:00:00,56,44,0.005,0.8,0.007,0.059,37.542036,127.049685
87,2020-12-22 11:00:00,58,42,0.005,0.9,0.007,0.058,37.542036,127.049685
88,2020-12-22 10:00:00,55,42,0.005,1.1,0.009,0.058,37.542036,127.049685
89,2020-12-22 09:00:00,51,39,0.004,1.2,0.008,0.056,37.542036,127.049685
90,2020-12-22 08:00:00,46,37,0.004,1.0,0.015,0.053,37.542036,127.049685
91,2020-12-22 07:00:00,44,36,0.003,0.8,0.016,0.053,37.542036,127.049685
92,2020-12-22 06:00:00,41,33,0.003,0.9,0.008,0.054,37.542036,127.049685
93,2020-12-22 05:00:00,41,34,0.004,0.9,0.009,0.055,37.542036,127.049685
94,2020-12-22 04:00:00,44,33,0.003,1.0,0.006,0.056,37.542036,127.049685
95,2020-12-22 03:00:00,45,35,0.004,1.1,0.004,0.060,37.542036,127.049685
96,2020-12-22 02:00:00,44,34,0.004,1.1,0.003,0.063,37.542036,127.049685
97,2020-12-22 01:00:00,43,33,0.004,1.1,0.003,0.063,37.542036,127.049685
98,,42,31,0.004,1.0,0.003,0.064,37.542036,127.049685
99,2020-12-21 23:00:00,43,32,0.004,1.0,0.002,0.065,37.542036,127.049685
