,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,27,19,0.004,1.1,0.003,0.052,37.606667,127.027264
1,2020-12-26 01:00:00,31,22,0.004,1.0,0.003,0.051,37.606667,127.027264
2,,-,18,0.004,1.1,0.003,0.055,37.606667,127.027264
3,2020-12-25 23:00:00,32,16,0.004,1.0,0.003,0.055,37.606667,127.027264
4,2020-12-25 22:00:00,34,12,0.004,0.9,0.003,0.053,37.606667,127.027264
5,2020-12-25 21:00:00,29,15,0.004,0.8,0.003,0.050,37.606667,127.027264
6,2020-12-25 20:00:00,27,16,0.004,0.7,0.005,0.045,37.606667,127.027264
7,2020-12-25 19:00:00,26,14,0.003,0.5,0.013,0.032,37.606667,127.027264
8,2020-12-25 18:00:00,20,11,0.003,0.5,0.023,0.020,37.606667,127.027264
9,2020-12-25 17:00:00,20,7,0.003,0.4,0.027,0.016,37.606667,127.027264
10,2020-12-25 16:00:00,37,7,0.004,0.4,0.028,0.015,37.606667,127.027264
11,2020-12-25 15:00:00,28,7,0.003,0.4,0.029,0.012,37.606667,127.027264
12,2020-12-25 14:00:00,31,11,0.004,0.4,0.028,0.015,37.606667,127.027264
13,2020-12-25 13:00:00,18,11,0.004,0.4,0.025,0.016,37.606667,127.027264
14,2020-12-25 12:00:00,30,10,0.004,0.5,0.024,0.018,37.606667,127.027264
15,2020-12-25 11:00:00,20,13,0.004,0.5,0.017,0.026,37.606667,127.027264
16,2020-12-25 10:00:00,30,14,0.004,0.6,0.016,0.026,37.606667,127.027264
17,2020-12-25 09:00:00,21,12,0.004,0.6,0.010,0.031,37.606667,127.027264
18,2020-12-25 08:00:00,21,17,0.004,0.5,0.019,0.020,37.606667,127.027264
19,2020-12-25 07:00:00,20,17,0.004,0.5,0.022,0.017,37.606667,127.027264
20,2020-12-25 06:00:00,22,13,0.004,0.6,0.024,0.015,37.606667,127.027264
21,2020-12-25 05:00:00,20,12,0.004,0.5,0.025,0.015,37.606667,127.027264
22,2020-12-25 04:00:00,21,13,0.004,0.5,0.027,0.012,37.606667,127.027264
23,2020-12-25 03:00:00,18,12,0.004,0.5,0.028,0.013,37.606667,127.027264
24,2020-12-25 02:00:00,16,9,0.003,0.5,0.027,0.014,37.606667,127.027264
25,2020-12-25 01:00:00,17,9,0.003,0.5,0.026,0.017,37.606667,127.027264
26,,17,10,0.003,0.5,0.022,0.020,37.606667,127.027264
27,2020-12-24 23:00:00,15,12,0.003,0.5,0.022,0.020,37.606667,127.027264
28,2020-12-24 22:00:00,16,9,0.003,0.5,0.022,0.020,37.606667,127.027264
29,2020-12-24 21:00:00,16,9,0.003,0.5,0.017,0.026,37.606667,127.027264
30,2020-12-24 20:00:00,20,4,0.003,0.4,0.023,0.021,37.606667,127.027264
31,2020-12-24 19:00:00,21,6,0.003,0.4,0.023,0.022,37.606667,127.027264
32,2020-12-24 18:00:00,27,11,0.003,0.4,0.023,0.024,37.606667,127.027264
33,2020-12-24 17:00:00,41,13,0.003,0.4,0.025,0.023,37.606667,127.027264
34,2020-12-24 16:00:00,54,14,0.003,0.4,0.027,0.021,37.606667,127.027264
35,2020-12-24 15:00:00,55,17,0.003,0.4,0.030,0.018,37.606667,127.027264
36,2020-12-24 14:00:00,65,16,0.003,0.4,0.030,0.018,37.606667,127.027264
37,2020-12-24 13:00:00,77,18,0.004,0.5,0.028,0.020,37.606667,127.027264
38,2020-12-24 12:00:00,91,38,0.004,0.7,0.019,0.029,37.606667,127.027264
39,2020-12-24 11:00:00,100,54,0.004,0.9,0.016,0.030,37.606667,127.027264
40,2020-12-24 10:00:00,94,53,0.004,0.9,0.009,0.039,37.606667,127.027264
41,2020-12-24 09:00:00,95,64,0.004,0.9,0.005,0.043,37.606667,127.027264
42,2020-12-24 08:00:00,105,66,0.003,0.9,0.006,0.041,37.606667,127.027264
43,2020-12-24 07:00:00,109,76,0.003,0.9,0.010,0.036,37.606667,127.027264
44,2020-12-24 06:00:00,112,76,0.003,0.9,0.017,0.029,37.606667,127.027264
45,2020-12-24 05:00:00,100,67,0.004,0.8,0.026,0.023,37.606667,127.027264
46,2020-12-24 04:00:00,79,57,0.003,0.7,0.029,0.021,37.606667,127.027264
47,2020-12-24 03:00:00,74,52,0.003,0.7,0.025,0.027,37.606667,127.027264
48,2020-12-24 02:00:00,77,52,0.003,0.7,0.017,0.032,37.606667,127.027264
49,2020-12-24 01:00:00,77,51,0.003,0.9,0.006,0.051,37.606667,127.027264
50,,78,53,0.003,0.8,0.010,0.049,37.606667,127.027264
51,2020-12-23 23:00:00,78,54,0.004,0.8,0.017,0.042,37.606667,127.027264
52,2020-12-23 22:00:00,77,53,0.004,0.9,0.012,0.050,37.606667,127.027264
53,2020-12-23 21:00:00,79,55,0.003,1.0,0.003,0.062,37.606667,127.027264
54,2020-12-23 20:00:00,79,50,0.003,0.9,0.010,0.055,37.606667,127.027264
55,2020-12-23 19:00:00,78,48,0.004,0.8,0.018,0.047,37.606667,127.027264
56,2020-12-23 18:00:00,69,48,0.004,0.7,0.024,0.040,37.606667,127.027264
57,2020-12-23 17:00:00,76,49,0.004,0.7,0.024,0.039,37.606667,127.027264
58,2020-12-23 16:00:00,77,41,0.004,0.7,0.028,0.034,37.606667,127.027264
59,2020-12-23 15:00:00,77,46,0.004,0.7,0.022,0.042,37.606667,127.027264
60,2020-12-23 14:00:00,106,72,0.005,1.1,0.004,0.065,37.606667,127.027264
61,2020-12-23 13:00:00,95,63,0.005,1.1,0.004,0.062,37.606667,127.027264
62,2020-12-23 12:00:00,78,59,0.004,1.0,0.005,0.055,37.606667,127.027264
63,2020-12-23 11:00:00,120,58,0.004,1.2,0.003,0.056,37.606667,127.027264
64,2020-12-23 10:00:00,81,53,0.004,1.3,0.003,0.059,37.606667,127.027264
65,2020-12-23 09:00:00,68,49,0.004,1.1,0.003,0.056,37.606667,127.027264
66,2020-12-23 08:00:00,71,43,0.004,1.0,0.003,0.052,37.606667,127.027264
67,2020-12-23 07:00:00,62,40,0.004,1.0,0.003,0.050,37.606667,127.027264
