,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,34,23,0.004,0.6,0.015,0.035,37.502685,127.092385
1,2020-12-02 12:00,28,14,0.004,0.6,0.010,0.036,37.502685,127.092385
2,2020-12-02 11:00,38,26,0.005,0.7,0.008,0.040,37.502685,127.092385
3,2020-12-02 10:00,45,26,0.004,0.7,0.005,0.042,37.502685,127.092385
4,2020-12-02 09:00,37,26,0.004,0.7,0.003,0.042,37.502685,127.092385
5,2020-12-02 08:00,32,21,0.004,0.6,0.005,0.040,37.502685,127.092385
6,2020-12-02 07:00,32,23,0.004,0.5,0.010,0.030,37.502685,127.092385
7,2020-12-02 06:00,30,20,0.004,0.5,0.017,0.024,37.502685,127.092385
8,2020-12-02 05:00,31,19,0.005,0.5,0.014,0.027,37.502685,127.092385
9,2020-12-02 04:00,29,19,0.004,0.5,0.013,0.028,37.502685,127.092385
10,2020-12-02 03:00,30,17,0.003,0.4,0.011,0.032,37.502685,127.092385
11,2020-12-02 02:00,32,15,0.004,0.5,0.006,0.039,37.502685,127.092385
12,2020-12-02 01:00,30,20,0.003,0.6,0.005,0.042,37.502685,127.092385
13,2020-12-01 24:00,30,18,0.004,0.5,0.010,0.037,37.502685,127.092385
14,2020-12-01 23:00,27,14,0.004,0.5,0.012,0.035,37.502685,127.092385
15,2020-12-01 22:00,25,13,0.004,0.5,0.018,0.028,37.502685,127.092385
16,2020-12-01 21:00,26,15,0.003,0.5,0.010,0.037,37.502685,127.092385
17,2020-12-01 20:00,22,11,0.003,0.5,0.014,0.033,37.502685,127.092385
18,2020-12-01 19:00,21,9,0.003,0.5,0.017,0.030,37.502685,127.092385
19,2020-12-01 18:00,21,12,0.003,0.4,0.020,0.028,37.502685,127.092385
20,2020-12-01 17:00,30,17,0.004,0.4,0.015,0.034,37.502685,127.092385
21,2020-12-01 16:00,30,16,0.004,0.5,0.013,0.038,37.502685,127.092385
22,2020-12-01 15:00,26,12,0.004,0.5,0.018,0.033,37.502685,127.092385
23,2020-12-01 14:00,32,19,0.004,0.6,0.020,0.031,37.502685,127.092385
24,2020-12-01 13:00,44,27,0.004,0.6,0.018,0.033,37.502685,127.092385
25,2020-12-01 12:00,45,29,0.004,0.7,0.016,0.032,37.502685,127.092385
26,2020-12-01 11:00,46,27,0.004,0.7,0.014,0.033,37.502685,127.092385
27,2020-12-01 10:00,44,34,0.005,0.8,0.008,0.038,37.502685,127.092385
28,2020-12-01 09:00,40,29,0.005,0.8,0.004,0.044,37.502685,127.092385
29,2020-12-01 08:00,35,21,0.004,0.7,0.003,0.043,37.502685,127.092385
30,2020-12-01 07:00,36,25,0.004,0.6,0.005,0.035,37.502685,127.092385
31,2020-12-01 06:00,33,22,0.004,0.6,0.006,0.037,37.502685,127.092385
32,2020-12-01 05:00,29,20,0.003,0.5,0.022,0.021,37.502685,127.092385
