,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,29,13,0.004,0.4,0.022,0.020,37.523286,126.858689
1,2020-12-02 12:00,40,19,0.004,0.5,0.016,0.027,37.523286,126.858689
2,2020-12-02 11:00,49,25,0.004,0.5,0.010,0.032,37.523286,126.858689
3,2020-12-02 10:00,44,23,0.005,0.6,0.006,0.037,37.523286,126.858689
4,2020-12-02 09:00,41,22,0.005,0.6,0.005,0.037,37.523286,126.858689
5,2020-12-02 08:00,43,22,0.004,0.6,0.006,0.034,37.523286,126.858689
6,2020-12-02 07:00,45,22,0.004,0.6,0.007,0.032,37.523286,126.858689
7,2020-12-02 06:00,40,21,0.005,0.6,0.011,0.026,37.523286,126.858689
8,2020-12-02 05:00,41,18,0.004,0.5,0.018,0.019,37.523286,126.858689
9,2020-12-02 04:00,40,21,0.004,0.5,0.019,0.017,37.523286,126.858689
10,2020-12-02 03:00,39,24,0.003,0.6,0.012,0.025,37.523286,126.858689
11,2020-12-02 02:00,39,22,0.004,0.6,0.014,0.024,37.523286,126.858689
12,2020-12-02 01:00,43,25,0.005,0.6,0.008,0.033,37.523286,126.858689
13,2020-12-01 24:00,42,22,0.004,0.6,0.006,0.036,37.523286,126.858689
14,2020-12-01 23:00,39,21,0.003,0.5,0.006,0.037,37.523286,126.858689
15,2020-12-01 22:00,38,18,0.003,0.6,0.003,0.044,37.523286,126.858689
16,2020-12-01 21:00,33,17,0.004,0.6,0.002,0.047,37.523286,126.858689
17,2020-12-01 20:00,28,14,0.004,0.5,0.004,0.043,37.523286,126.858689
18,2020-12-01 19:00,28,16,0.003,0.5,0.011,0.033,37.523286,126.858689
19,2020-12-01 18:00,35,19,0.004,0.4,0.014,0.031,37.523286,126.858689
20,2020-12-01 17:00,33,18,0.003,0.5,0.014,0.030,37.523286,126.858689
21,2020-12-01 16:00,21,12,0.003,0.4,0.019,0.023,37.523286,126.858689
22,2020-12-01 15:00,19,9,0.003,0.4,0.024,0.017,37.523286,126.858689
23,2020-12-01 14:00,26,14,0.003,0.4,0.024,0.018,37.523286,126.858689
24,2020-12-01 13:00,37,22,0.004,0.5,0.021,0.021,37.523286,126.858689
25,2020-12-01 12:00,36,17,0.004,0.4,0.016,0.026,37.523286,126.858689
26,2020-12-01 11:00,34,16,0.004,0.5,0.017,0.023,37.523286,126.858689
27,2020-12-01 10:00,37,18,0.004,0.5,0.011,0.029,37.523286,126.858689
28,2020-12-01 09:00,44,22,0.004,0.7,0.005,0.040,37.523286,126.858689
29,2020-12-01 08:00,44,24,0.004,0.7,0.002,0.045,37.523286,126.858689
30,2020-12-01 07:00,44,27,0.004,0.6,0.004,0.039,37.523286,126.858689
31,2020-12-01 06:00,45,25,0.004,0.6,0.007,0.033,37.523286,126.858689
32,2020-12-01 05:00,49,29,0.003,0.6,0.010,0.028,37.523286,126.858689
33,2020-12-01 04:00,46,26,0.004,0.6,0.011,0.027,37.523286,126.858689
34,2020-12-01 03:00,52,29,0.003,0.6,0.009,0.028,37.523286,126.858689
35,2020-12-01 02:00,51,28,0.003,0.6,0.009,0.029,37.523286,126.858689
36,2020-12-01 01:00,54,33,0.003,0.7,0.008,0.033,37.523286,126.858689
37,2020-11-30 24:00,47,27,0.003,0.7,0.005,0.039,37.523286,126.858689
38,2020-11-30 23:00,48,28,0.004,0.6,0.007,0.037,37.523286,126.858689
39,2020-11-30 22:00,46,26,0.004,0.7,0.008,0.036,37.523286,126.858689
40,2020-11-30 21:00,40,23,0.004,0.6,0.013,0.028,37.523286,126.858689
41,2020-11-30 20:00,38,21,0.004,0.6,0.007,0.037,37.523286,126.858689
42,2020-11-30 19:00,44,27,0.003,0.6,0.006,0.040,37.523286,126.858689
43,2020-11-30 18:00,33,19,0.003,0.6,0.012,0.029,37.523286,126.858689
44,2020-11-30 17:00,-,-,-,-,-,-,37.523286,126.858689
45,2020-11-30 16:00,-,-,-,-,-,-,37.523286,126.858689
46,2020-11-30 15:00,38,25,0.005,0.5,0.031,0.016,37.523286,126.858689
47,2020-11-30 14:00,35,21,0.005,0.5,0.029,0.018,37.523286,126.858689
48,2020-11-30 13:00,38,25,0.004,0.5,0.026,0.017,37.523286,126.858689
49,2020-11-30 12:00,38,20,0.005,0.5,0.019,0.023,37.523286,126.858689
50,2020-11-30 11:00,34,20,0.005,0.5,0.020,0.021,37.523286,126.858689
51,2020-11-30 10:00,23,11,0.004,0.6,0.012,0.034,37.523286,126.858689
52,2020-11-30 09:00,25,15,0.004,0.6,0.010,0.034,37.523286,126.858689
53,2020-11-30 08:00,21,12,0.004,0.7,0.003,0.043,37.523286,126.858689
54,2020-11-30 07:00,22,15,0.003,0.6,0.005,0.038,37.523286,126.858689
55,2020-11-30 06:00,21,13,0.004,0.6,0.003,0.040,37.523286,126.858689
56,2020-11-30 05:00,21,13,0.003,0.5,0.005,0.036,37.523286,126.858689
57,2020-11-30 04:00,18,11,0.003,0.5,0.013,0.027,37.523286,126.858689
58,2020-11-30 03:00,19,12,0.003,0.5,0.017,0.024,37.523286,126.858689
59,2020-11-30 02:00,17,9,0.003,0.4,0.022,0.020,37.523286,126.858689
60,2020-11-30 01:00,17,13,0.003,0.4,0.020,0.023,37.523286,126.858689
61,2020-11-29 24:00,16,10,0.003,0.4,0.020,0.022,37.523286,126.858689
62,2020-11-29 23:00,18,12,0.003,0.4,0.018,0.024,37.523286,126.858689
63,2020-11-29 22:00,21,13,0.004,0.4,0.021,0.020,37.523286,126.858689
64,2020-11-29 21:00,24,14,0.003,0.4,0.020,0.020,37.523286,126.858689
65,2020-11-29 20:00,29,18,0.003,0.5,0.018,0.022,37.523286,126.858689
66,2020-11-29 19:00,30,22,0.004,0.5,0.012,0.031,37.523286,126.858689
67,2020-11-29 18:00,27,18,0.004,0.5,0.018,0.024,37.523286,126.858689
68,2020-11-29 17:00,24,18,0.004,0.4,0.025,0.017,37.523286,126.858689
69,2020-11-29 16:00,27,18,0.004,0.4,0.026,0.016,37.523286,126.858689
70,2020-11-29 15:00,27,15,0.004,0.4,0.029,0.013,37.523286,126.858689
71,2020-11-29 14:00,30,18,0.003,0.4,0.027,0.012,37.523286,126.858689
72,2020-11-29 13:00,32,18,0.004,0.4,0.021,0.018,37.523286,126.858689
73,2020-11-29 12:00,35,18,0.004,0.4,0.019,0.021,37.523286,126.858689
74,2020-11-29 11:00,36,23,0.005,0.6,0.008,0.033,37.523286,126.858689
75,2020-11-29 10:00,30,16,0.004,0.6,0.008,0.033,37.523286,126.858689
76,2020-11-29 09:00,28,16,0.004,0.6,0.007,0.032,37.523286,126.858689
77,2020-11-29 08:00,27,13,0.004,0.5,0.010,0.026,37.523286,126.858689
78,2020-11-29 07:00,27,14,0.003,0.5,0.011,0.026,37.523286,126.858689
79,2020-11-29 06:00,26,14,0.003,0.5,0.014,0.021,37.523286,126.858689
80,2020-11-29 05:00,27,14,0.003,0.4,0.018,0.017,37.523286,126.858689
81,2020-11-29 04:00,26,14,0.004,0.5,0.019,0.016,37.523286,126.858689
82,2020-11-29 03:00,28,16,0.003,0.4,0.020,0.016,37.523286,126.858689
83,2020-11-29 02:00,28,14,0.003,0.4,0.018,0.018,37.523286,126.858689
84,2020-11-29 01:00,27,14,0.003,0.4,0.018,0.020,37.523286,126.858689
85,2020-11-28 24:00,24,12,0.003,0.4,0.022,0.016,37.523286,126.858689
86,2020-11-28 23:00,24,14,0.004,0.4,0.019,0.019,37.523286,126.858689
87,2020-11-28 22:00,21,10,0.003,0.4,0.020,0.018,37.523286,126.858689
88,2020-11-28 21:00,18,11,0.003,0.4,0.022,0.017,37.523286,126.858689
89,2020-11-28 20:00,22,11,0.004,0.4,0.024,0.016,37.523286,126.858689
90,2020-11-28 19:00,23,11,0.003,0.4,0.020,0.021,37.523286,126.858689
91,2020-11-28 18:00,19,10,0.003,0.4,0.022,0.021,37.523286,126.858689
92,2020-11-28 17:00,21,12,0.004,0.3,0.028,0.015,37.523286,126.858689
93,2020-11-28 16:00,18,11,0.003,0.3,0.031,0.011,37.523286,126.858689
94,2020-11-28 15:00,17,11,0.003,0.3,0.031,0.010,37.523286,126.858689
95,2020-11-28 14:00,16,8,0.003,0.3,0.031,0.010,37.523286,126.858689
96,2020-11-28 13:00,24,11,0.004,0.3,0.030,0.010,37.523286,126.858689
97,2020-11-28 12:00,29,12,0.004,0.4,0.026,0.013,37.523286,126.858689
98,2020-11-28 11:00,26,13,0.004,0.4,0.022,0.014,37.523286,126.858689
99,2020-11-28 10:00,28,13,0.005,0.4,0.019,0.017,37.523286,126.858689
