,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,23,11,0.003,0.6,0.003,0.043,37.525007,126.89737
1,2020-12-26 01:00:00,25,12,0.004,0.7,0.002,0.049,37.525007,126.89737
2,,25,13,0.004,0.7,0.002,0.051,37.525007,126.89737
3,2020-12-25 23:00:00,26,17,0.004,0.7,0.002,0.050,37.525007,126.89737
4,2020-12-25 22:00:00,26,13,0.004,0.7,0.002,0.047,37.525007,126.89737
5,2020-12-25 21:00:00,27,15,0.003,0.6,0.005,0.045,37.525007,126.89737
6,2020-12-25 20:00:00,26,13,0.003,0.6,0.008,0.039,37.525007,126.89737
7,2020-12-25 19:00:00,26,12,0.003,0.5,0.016,0.029,37.525007,126.89737
8,2020-12-25 18:00:00,23,12,0.003,0.5,0.022,0.021,37.525007,126.89737
9,2020-12-25 17:00:00,25,11,0.003,0.4,0.028,0.014,37.525007,126.89737
10,2020-12-25 16:00:00,21,8,0.003,0.5,0.029,0.013,37.525007,126.89737
11,2020-12-25 15:00:00,20,8,0.003,0.4,0.029,0.012,37.525007,126.89737
12,2020-12-25 14:00:00,19,7,0.004,0.4,0.029,0.013,37.525007,126.89737
13,2020-12-25 13:00:00,27,15,0.004,0.4,0.028,0.012,37.525007,126.89737
14,2020-12-25 12:00:00,28,14,0.004,0.5,0.021,0.024,37.525007,126.89737
15,2020-12-25 11:00:00,29,19,0.004,0.5,0.017,0.026,37.525007,126.89737
16,2020-12-25 10:00:00,25,11,0.005,0.5,0.016,0.026,37.525007,126.89737
17,2020-12-25 09:00:00,27,18,0.004,0.5,0.015,0.026,37.525007,126.89737
18,2020-12-25 08:00:00,25,17,0.004,0.6,0.013,0.028,37.525007,126.89737
19,2020-12-25 07:00:00,27,19,0.004,0.5,0.016,0.023,37.525007,126.89737
20,2020-12-25 06:00:00,25,17,0.004,0.5,0.018,0.021,37.525007,126.89737
21,2020-12-25 05:00:00,24,16,0.003,0.5,0.019,0.020,37.525007,126.89737
22,2020-12-25 04:00:00,24,16,0.003,0.6,0.016,0.023,37.525007,126.89737
23,2020-12-25 03:00:00,23,17,0.004,0.5,0.023,0.016,37.525007,126.89737
24,2020-12-25 02:00:00,22,16,0.003,0.5,0.019,0.020,37.525007,126.89737
25,2020-12-25 01:00:00,24,14,0.003,0.5,0.020,0.020,37.525007,126.89737
26,,22,13,0.003,0.5,0.024,0.016,37.525007,126.89737
27,2020-12-24 23:00:00,21,12,0.003,0.5,0.018,0.023,37.525007,126.89737
