,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,54,25,0.004,0.6,0.009,0.033,37.540314,127.005083
1,2020-12-02 12:00,63,29,0.004,0.8,0.005,0.042,37.540314,127.005083
2,2020-12-02 11:00,65,25,0.004,0.8,0.004,0.042,37.540314,127.005083
3,2020-12-02 10:00,46,21,0.004,0.7,0.004,0.036,37.540314,127.005083
4,2020-12-02 09:00,49,20,0.004,0.6,0.003,0.034,37.540314,127.005083
5,2020-12-02 08:00,44,20,0.003,0.5,0.002,0.032,37.540314,127.005083
6,2020-12-02 07:00,46,22,0.004,0.5,0.004,0.030,37.540314,127.005083
7,2020-12-02 06:00,42,18,0.004,0.5,0.006,0.027,37.540314,127.005083
8,2020-12-02 05:00,41,17,0.003,0.5,0.005,0.028,37.540314,127.005083
9,2020-12-02 04:00,44,19,0.003,0.5,0.002,0.034,37.540314,127.005083
10,2020-12-02 03:00,40,16,0.003,0.5,0.002,0.035,37.540314,127.005083
11,2020-12-02 02:00,34,15,0.003,0.5,0.003,0.033,37.540314,127.005083
12,2020-12-02 01:00,38,14,0.003,0.4,0.008,0.025,37.540314,127.005083
13,2020-12-01 24:00,37,14,0.003,0.4,0.008,0.027,37.540314,127.005083
14,2020-12-01 23:00,36,13,0.003,0.5,0.008,0.027,37.540314,127.005083
15,2020-12-01 22:00,37,17,0.003,0.5,0.006,0.029,37.540314,127.005083
16,2020-12-01 21:00,37,19,0.003,0.4,0.013,0.021,37.540314,127.005083
17,2020-12-01 20:00,37,16,0.003,0.4,0.010,0.027,37.540314,127.005083
18,2020-12-01 19:00,40,16,0.003,0.5,0.006,0.032,37.540314,127.005083
19,2020-12-01 18:00,32,12,0.003,0.4,0.009,0.027,37.540314,127.005083
20,2020-12-01 17:00,22,5,0.003,0.4,0.013,0.026,37.540314,127.005083
21,2020-12-01 16:00,32,14,0.003,0.3,0.018,0.021,37.540314,127.005083
22,2020-12-01 15:00,45,21,0.003,0.4,0.017,0.024,37.540314,127.005083
23,2020-12-01 14:00,45,21,0.004,0.5,0.012,0.031,37.540314,127.005083
24,2020-12-01 13:00,54,24,0.004,0.6,0.010,0.035,37.540314,127.005083
25,2020-12-01 12:00,48,25,0.004,0.6,0.011,0.032,37.540314,127.005083
26,2020-12-01 11:00,50,21,0.004,0.6,0.012,0.029,37.540314,127.005083
27,2020-12-01 10:00,48,24,0.004,0.6,0.008,0.032,37.540314,127.005083
28,2020-12-01 09:00,43,19,0.004,0.6,0.005,0.035,37.540314,127.005083
29,2020-12-01 08:00,35,18,0.003,0.6,0.002,0.035,37.540314,127.005083
30,2020-12-01 07:00,34,15,0.003,0.5,0.004,0.032,37.540314,127.005083
31,2020-12-01 06:00,28,15,0.003,0.5,0.006,0.027,37.540314,127.005083
32,2020-12-01 05:00,30,12,0.003,0.4,0.009,0.022,37.540314,127.005083
33,2020-12-01 04:00,32,13,0.003,0.4,0.010,0.024,37.540314,127.005083
34,2020-12-01 03:00,36,14,0.003,0.4,0.015,0.016,37.540314,127.005083
35,2020-12-01 02:00,41,18,0.003,0.5,0.016,0.015,37.540314,127.005083
36,2020-12-01 01:00,47,20,0.003,0.5,0.011,0.023,37.540314,127.005083
37,2020-11-30 24:00,49,19,0.003,0.5,0.016,0.017,37.540314,127.005083
38,2020-11-30 23:00,53,23,0.003,0.5,0.017,0.017,37.540314,127.005083
39,2020-11-30 22:00,47,20,0.003,0.6,0.007,0.031,37.540314,127.005083
40,2020-11-30 21:00,43,18,0.004,0.5,0.008,0.030,37.540314,127.005083
41,2020-11-30 20:00,39,19,0.003,0.5,0.013,0.024,37.540314,127.005083
42,2020-11-30 19:00,46,21,0.003,0.5,0.014,0.023,37.540314,127.005083
43,2020-11-30 18:00,42,20,0.003,0.5,0.016,0.021,37.540314,127.005083
44,2020-11-30 17:00,40,16,0.004,0.5,0.017,0.022,37.540314,127.005083
45,2020-11-30 16:00,38,16,0.004,0.4,0.021,0.018,37.540314,127.005083
46,2020-11-30 15:00,45,23,0.004,0.4,0.021,0.018,37.540314,127.005083
47,2020-11-30 14:00,44,21,0.004,0.5,0.019,0.018,37.540314,127.005083
48,2020-11-30 13:00,43,20,0.004,0.5,0.017,0.018,37.540314,127.005083
49,2020-11-30 12:00,39,20,0.004,0.5,0.019,0.016,37.540314,127.005083
50,2020-11-30 11:00,36,15,0.004,0.5,0.018,0.017,37.540314,127.005083
51,2020-11-30 10:00,32,14,0.004,0.5,0.012,0.026,37.540314,127.005083
52,2020-11-30 09:00,29,11,0.003,0.6,0.004,0.039,37.540314,127.005083
53,2020-11-30 08:00,18,8,0.003,0.5,0.003,0.031,37.540314,127.005083
54,2020-11-30 07:00,19,8,0.003,0.6,0.005,0.037,37.540314,127.005083
55,2020-11-30 06:00,18,8,0.002,0.4,0.006,0.024,37.540314,127.005083
56,2020-11-30 05:00,18,8,0.002,0.4,0.007,0.023,37.540314,127.005083
57,2020-11-30 04:00,16,7,0.002,0.4,0.011,0.020,37.540314,127.005083
58,2020-11-30 03:00,15,5,0.002,0.3,0.015,0.014,37.540314,127.005083
59,2020-11-30 02:00,16,8,0.003,0.3,0.018,0.011,37.540314,127.005083
60,2020-11-30 01:00,20,9,0.003,0.3,0.018,0.012,37.540314,127.005083
61,2020-11-29 24:00,20,7,0.003,0.3,0.018,0.016,37.540314,127.005083
62,2020-11-29 23:00,25,10,0.003,0.3,0.015,0.018,37.540314,127.005083
63,2020-11-29 22:00,22,9,0.003,0.3,0.016,0.017,37.540314,127.005083
64,2020-11-29 21:00,30,13,0.003,0.3,0.017,0.015,37.540314,127.005083
65,2020-11-29 20:00,29,15,0.003,0.4,0.015,0.016,37.540314,127.005083
66,2020-11-29 19:00,39,16,0.003,0.4,0.017,0.016,37.540314,127.005083
