,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,28,12,0.004,0.5,0.004,0.035,37.610471,126.933504
1,2020-12-26 01:00:00,27,12,0.004,0.5,0.006,0.031,37.610471,126.933504
2,,21,14,0.004,0.5,0.005,0.033,37.610471,126.933504
3,2020-12-25 23:00:00,24,14,0.004,0.6,0.003,0.040,37.610471,126.933504
4,2020-12-25 22:00:00,23,12,0.004,0.5,0.004,0.037,37.610471,126.933504
5,2020-12-25 21:00:00,27,10,0.004,0.5,0.006,0.035,37.610471,126.933504
6,2020-12-25 20:00:00,31,10,0.004,0.5,0.005,0.035,37.610471,126.933504
7,2020-12-25 19:00:00,28,12,0.004,0.5,0.016,0.028,37.610471,126.933504
8,2020-12-25 18:00:00,26,16,0.004,0.4,0.026,0.019,37.610471,126.933504
9,2020-12-25 17:00:00,26,14,0.004,0.4,0.033,0.013,37.610471,126.933504
10,2020-12-25 16:00:00,22,12,0.004,0.4,0.037,0.009,37.610471,126.933504
11,2020-12-25 15:00:00,15,10,0.004,0.4,0.036,0.009,37.610471,126.933504
12,2020-12-25 14:00:00,27,11,0.004,0.4,0.034,0.011,37.610471,126.933504
13,2020-12-25 13:00:00,25,13,0.004,0.4,0.034,0.012,37.610471,126.933504
14,2020-12-25 12:00:00,31,17,0.005,0.4,0.028,0.016,37.610471,126.933504
15,2020-12-25 11:00:00,27,11,0.005,0.4,0.029,0.014,37.610471,126.933504
16,2020-12-25 10:00:00,26,19,0.005,0.5,0.014,0.026,37.610471,126.933504
17,2020-12-25 09:00:00,25,15,0.004,0.5,0.009,0.027,37.610471,126.933504
18,2020-12-25 08:00:00,24,19,0.004,0.5,0.020,0.019,37.610471,126.933504
19,2020-12-25 07:00:00,26,16,0.004,0.5,0.026,0.013,37.610471,126.933504
20,2020-12-25 06:00:00,25,13,0.004,0.5,0.028,0.012,37.610471,126.933504
21,2020-12-25 05:00:00,26,16,0.004,0.5,0.029,0.012,37.610471,126.933504
22,2020-12-25 04:00:00,26,13,0.004,0.5,0.031,0.012,37.610471,126.933504
23,2020-12-25 03:00:00,26,13,0.004,0.5,0.031,0.011,37.610471,126.933504
24,2020-12-25 02:00:00,26,13,0.004,0.5,0.031,0.011,37.610471,126.933504
25,2020-12-25 01:00:00,19,13,0.004,0.6,0.029,0.013,37.610471,126.933504
26,,16,12,0.004,0.5,0.029,0.014,37.610471,126.933504
27,2020-12-24 23:00:00,16,12,0.004,0.5,0.026,0.017,37.610471,126.933504
28,2020-12-24 22:00:00,19,10,0.004,0.5,0.025,0.018,37.610471,126.933504
29,2020-12-24 21:00:00,22,12,0.004,0.4,0.024,0.019,37.610471,126.933504
30,2020-12-24 20:00:00,25,9,0.004,0.4,0.025,0.019,37.610471,126.933504
31,2020-12-24 19:00:00,31,12,0.004,0.4,0.022,0.024,37.610471,126.933504
32,2020-12-24 18:00:00,33,14,0.004,0.4,0.028,0.019,37.610471,126.933504
33,2020-12-24 17:00:00,33,18,0.004,0.4,0.035,0.015,37.610471,126.933504
34,2020-12-24 16:00:00,51,14,0.004,0.4,0.038,0.013,37.610471,126.933504
35,2020-12-24 15:00:00,55,14,0.004,0.4,0.040,0.011,37.610471,126.933504
36,2020-12-24 14:00:00,50,16,0.004,0.4,0.040,0.011,37.610471,126.933504
37,2020-12-24 13:00:00,63,13,0.004,0.4,0.039,0.012,37.610471,126.933504
38,2020-12-24 12:00:00,81,38,0.005,0.6,0.031,0.017,37.610471,126.933504
39,2020-12-24 11:00:00,104,70,0.005,0.8,0.013,0.033,37.610471,126.933504
40,2020-12-24 10:00:00,100,67,0.005,0.8,0.007,0.038,37.610471,126.933504
41,2020-12-24 09:00:00,92,71,0.004,1.0,0.005,0.039,37.610471,126.933504
42,2020-12-24 08:00:00,101,78,0.004,0.9,0.003,0.041,37.610471,126.933504
43,2020-12-24 07:00:00,106,82,0.004,0.8,0.012,0.032,37.610471,126.933504
44,2020-12-24 06:00:00,109,77,0.004,0.8,0.022,0.024,37.610471,126.933504
45,2020-12-24 05:00:00,85,77,0.004,0.7,0.032,0.020,37.610471,126.933504
46,2020-12-24 04:00:00,69,61,0.004,0.7,0.034,0.020,37.610471,126.933504
47,2020-12-24 03:00:00,69,64,0.004,0.7,0.019,0.034,37.610471,126.933504
48,2020-12-24 02:00:00,70,57,0.004,0.7,0.021,0.030,37.610471,126.933504
49,2020-12-24 01:00:00,70,56,0.004,0.6,0.021,0.028,37.610471,126.933504
50,,71,60,0.004,0.6,0.023,0.028,37.610471,126.933504
51,2020-12-23 23:00:00,75,62,0.004,0.6,0.026,0.029,37.610471,126.933504
52,2020-12-23 22:00:00,72,62,0.004,0.7,0.024,0.032,37.610471,126.933504
53,2020-12-23 21:00:00,76,58,0.004,0.7,0.013,0.042,37.610471,126.933504
54,2020-12-23 20:00:00,69,57,0.004,0.7,0.012,0.045,37.610471,126.933504
55,2020-12-23 19:00:00,69,55,0.004,0.7,0.027,0.037,37.610471,126.933504
56,2020-12-23 18:00:00,70,52,0.004,0.6,0.036,0.030,37.610471,126.933504
57,2020-12-23 17:00:00,70,63,0.005,0.7,0.037,0.027,37.610471,126.933504
58,2020-12-23 16:00:00,73,51,0.005,0.7,0.034,0.030,37.610471,126.933504
59,2020-12-23 15:00:00,69,53,0.005,0.6,0.042,0.022,37.610471,126.933504
60,2020-12-23 14:00:00,74,65,0.005,0.7,0.029,0.036,37.610471,126.933504
61,2020-12-23 13:00:00,85,62,0.006,0.8,0.010,0.052,37.610471,126.933504
62,2020-12-23 12:00:00,72,55,0.006,0.8,0.010,0.047,37.610471,126.933504
63,2020-12-23 11:00:00,69,52,0.005,0.7,0.007,0.044,37.610471,126.933504
64,2020-12-23 10:00:00,70,48,0.005,0.7,0.006,0.044,37.610471,126.933504
65,2020-12-23 09:00:00,62,44,0.004,0.6,0.012,0.034,37.610471,126.933504
66,2020-12-23 08:00:00,64,48,0.004,0.6,0.014,0.031,37.610471,126.933504
67,2020-12-23 07:00:00,61,43,0.004,0.6,0.007,0.039,37.610471,126.933504
68,2020-12-23 06:00:00,57,43,0.004,0.7,0.004,0.042,37.610471,126.933504
69,2020-12-23 05:00:00,52,40,0.004,0.7,0.004,0.043,37.610471,126.933504
70,2020-12-23 04:00:00,51,39,0.004,0.6,0.004,0.041,37.610471,126.933504
71,2020-12-23 03:00:00,51,34,0.004,0.6,0.009,0.034,37.610471,126.933504
72,2020-12-23 02:00:00,45,34,0.004,0.5,0.007,0.036,37.610471,126.933504
73,2020-12-23 01:00:00,37,31,0.004,0.6,0.006,0.041,37.610471,126.933504
74,,41,31,0.004,0.6,0.006,0.045,37.610471,126.933504
75,2020-12-22 23:00:00,45,36,0.004,0.6,0.004,0.049,37.610471,126.933504
76,2020-12-22 22:00:00,43,35,0.004,0.6,0.004,0.047,37.610471,126.933504
77,2020-12-22 21:00:00,45,35,0.004,0.6,0.004,0.047,37.610471,126.933504
78,2020-12-22 20:00:00,36,32,0.004,0.6,0.005,0.047,37.610471,126.933504
79,2020-12-22 19:00:00,45,27,0.004,0.7,0.004,0.049,37.610471,126.933504
80,2020-12-22 18:00:00,39,33,0.005,0.5,0.027,0.031,37.610471,126.933504
81,2020-12-22 17:00:00,39,31,0.005,0.5,0.038,0.019,37.610471,126.933504
82,2020-12-22 16:00:00,42,31,0.005,0.4,0.040,0.019,37.610471,126.933504
83,2020-12-22 15:00:00,44,42,0.005,0.5,0.038,0.019,37.610471,126.933504
84,2020-12-22 14:00:00,54,51,0.005,0.5,0.027,0.026,37.610471,126.933504
85,2020-12-22 13:00:00,64,49,0.005,0.7,0.012,0.042,37.610471,126.933504
86,2020-12-22 12:00:00,57,46,0.005,0.8,0.007,0.047,37.610471,126.933504
87,2020-12-22 11:00:00,50,43,0.005,0.7,0.006,0.042,37.610471,126.933504
88,2020-12-22 10:00:00,49,38,0.005,0.7,0.004,0.041,37.610471,126.933504
89,2020-12-22 09:00:00,51,38,0.005,0.7,0.003,0.044,37.610471,126.933504
90,2020-12-22 08:00:00,45,35,0.004,0.8,0.003,0.045,37.610471,126.933504
91,2020-12-22 07:00:00,40,38,0.005,0.7,0.003,0.042,37.610471,126.933504
92,2020-12-22 06:00:00,39,33,0.004,0.6,0.003,0.041,37.610471,126.933504
93,2020-12-22 05:00:00,42,30,0.004,0.7,0.003,0.044,37.610471,126.933504
94,2020-12-22 04:00:00,42,32,0.004,0.7,0.003,0.040,37.610471,126.933504
95,2020-12-22 03:00:00,37,29,0.004,0.6,0.003,0.041,37.610471,126.933504
96,2020-12-22 02:00:00,38,28,0.004,0.7,0.003,0.045,37.610471,126.933504
97,2020-12-22 01:00:00,37,28,0.004,0.6,0.004,0.040,37.610471,126.933504
98,,28,24,0.004,0.5,0.004,0.039,37.610471,126.933504
99,2020-12-21 23:00:00,28,23,0.004,0.5,0.005,0.037,37.610471,126.933504
