,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,39,24,0.004,0.7,0.013,0.034,37.572025,127.005028
1,2020-12-02 12:00,41,22,0.005,0.8,0.008,0.042,37.572025,127.005028
2,2020-12-02 11:00,47,30,0.005,0.9,0.006,0.044,37.572025,127.005028
3,2020-12-02 10:00,41,24,0.004,0.8,0.005,0.042,37.572025,127.005028
4,2020-12-02 09:00,40,21,0.004,0.7,0.004,0.041,37.572025,127.005028
5,2020-12-02 08:00,37,22,0.004,0.7,0.003,0.043,37.572025,127.005028
6,2020-12-02 07:00,37,24,0.004,0.6,0.007,0.034,37.572025,127.005028
7,2020-12-02 06:00,37,22,0.004,0.6,0.013,0.027,37.572025,127.005028
8,2020-12-02 05:00,34,20,0.004,0.5,0.014,0.025,37.572025,127.005028
9,2020-12-02 04:00,31,18,0.003,0.6,0.008,0.032,37.572025,127.005028
10,2020-12-02 03:00,33,17,0.003,0.6,0.005,0.038,37.572025,127.005028
11,2020-12-02 02:00,32,17,0.003,0.6,0.005,0.040,37.572025,127.005028
12,2020-12-02 01:00,32,19,0.004,0.5,0.010,0.033,37.572025,127.005028
13,2020-12-01 24:00,32,19,0.004,0.5,0.014,0.028,37.572025,127.005028
14,2020-12-01 23:00,28,19,0.003,0.5,0.008,0.038,37.572025,127.005028
15,2020-12-01 22:00,32,18,0.004,0.6,0.008,0.037,37.572025,127.005028
16,2020-12-01 21:00,34,21,0.003,0.6,0.011,0.034,37.572025,127.005028
17,2020-12-01 20:00,33,20,0.003,0.6,0.011,0.036,37.572025,127.005028
18,2020-12-01 19:00,31,20,0.004,0.6,0.012,0.032,37.572025,127.005028
19,2020-12-01 18:00,23,15,0.004,0.6,0.017,0.028,37.572025,127.005028
20,2020-12-01 17:00,22,11,0.003,0.4,0.023,0.021,37.572025,127.005028
21,2020-12-01 16:00,26,16,0.003,0.4,0.027,0.020,37.572025,127.005028
22,2020-12-01 15:00,32,22,0.004,0.5,0.022,0.027,37.572025,127.005028
23,2020-12-01 14:00,31,19,0.004,0.6,0.021,0.030,37.572025,127.005028
24,2020-12-01 13:00,35,25,0.004,0.6,0.019,0.029,37.572025,127.005028
25,2020-12-01 12:00,39,25,0.003,0.7,0.016,0.033,37.572025,127.005028
26,2020-12-01 11:00,47,30,0.004,0.7,0.012,0.037,37.572025,127.005028
27,2020-12-01 10:00,45,25,0.004,0.8,0.010,0.037,37.572025,127.005028
28,2020-12-01 09:00,36,24,0.003,0.8,0.006,0.041,37.572025,127.005028
29,2020-12-01 08:00,37,23,0.003,0.7,0.003,0.040,37.572025,127.005028
30,2020-12-01 07:00,35,22,0.003,0.6,0.003,0.040,37.572025,127.005028
31,2020-12-01 06:00,31,20,0.003,0.6,0.011,0.031,37.572025,127.005028
32,2020-12-01 05:00,27,20,0.003,0.6,0.009,0.033,37.572025,127.005028
33,2020-12-01 04:00,24,16,0.003,0.6,0.011,0.031,37.572025,127.005028
34,2020-12-01 03:00,27,17,0.004,0.5,0.021,0.021,37.572025,127.005028
35,2020-12-01 02:00,30,20,0.003,0.5,0.026,0.015,37.572025,127.005028
36,2020-12-01 01:00,35,22,0.003,0.5,0.023,0.020,37.572025,127.005028
37,2020-11-30 24:00,36,23,0.003,0.6,0.022,0.021,37.572025,127.005028
38,2020-11-30 23:00,41,25,0.004,0.6,0.022,0.021,37.572025,127.005028
39,2020-11-30 22:00,37,22,0.004,0.6,0.025,0.019,37.572025,127.005028
40,2020-11-30 21:00,37,24,0.004,0.6,0.016,0.028,37.572025,127.005028
41,2020-11-30 20:00,37,25,0.005,0.7,0.011,0.036,37.572025,127.005028
42,2020-11-30 19:00,37,26,0.004,0.7,0.011,0.036,37.572025,127.005028
43,2020-11-30 18:00,38,26,0.003,0.6,0.022,0.025,37.572025,127.005028
44,2020-11-30 17:00,38,26,0.005,0.5,0.025,0.021,37.572025,127.005028
45,2020-11-30 16:00,31,20,0.004,0.5,0.029,0.017,37.572025,127.005028
46,2020-11-30 15:00,34,24,0.003,0.5,0.032,0.015,37.572025,127.005028
47,2020-11-30 14:00,35,23,0.004,0.5,0.027,0.017,37.572025,127.005028
48,2020-11-30 13:00,34,22,0.005,0.5,0.026,0.017,37.572025,127.005028
49,2020-11-30 12:00,36,23,0.004,0.5,0.026,0.014,37.572025,127.005028
50,2020-11-30 11:00,33,20,0.004,0.5,0.020,0.022,37.572025,127.005028
51,2020-11-30 10:00,26,14,0.003,0.7,0.009,0.038,37.572025,127.005028
52,2020-11-30 09:00,23,14,0.004,0.9,0.004,0.046,37.572025,127.005028
53,2020-11-30 08:00,19,12,0.003,0.8,0.002,0.045,37.572025,127.005028
54,2020-11-30 07:00,18,9,0.002,0.6,0.003,0.040,37.572025,127.005028
55,2020-11-30 06:00,17,11,0.003,0.5,0.006,0.035,37.572025,127.005028
56,2020-11-30 05:00,20,12,0.002,0.5,0.011,0.028,37.572025,127.005028
57,2020-11-30 04:00,15,10,0.003,0.4,0.013,0.027,37.572025,127.005028
58,2020-11-30 03:00,16,8,0.002,0.4,0.019,0.021,37.572025,127.005028
59,2020-11-30 02:00,13,8,0.003,0.4,0.024,0.015,37.572025,127.005028
60,2020-11-30 01:00,14,7,0.003,0.4,0.029,0.010,37.572025,127.005028
61,2020-11-29 24:00,12,8,0.003,0.3,0.031,0.010,37.572025,127.005028
62,2020-11-29 23:00,12,11,0.004,0.3,0.031,0.009,37.572025,127.005028
63,2020-11-29 22:00,16,11,0.003,0.3,0.028,0.010,37.572025,127.005028
64,2020-11-29 21:00,21,15,0.004,0.4,0.028,0.010,37.572025,127.005028
65,2020-11-29 20:00,25,17,0.002,0.4,0.024,0.014,37.572025,127.005028
66,2020-11-29 19:00,27,19,0.003,0.4,0.024,0.016,37.572025,127.005028
67,2020-11-29 18:00,25,18,0.004,0.4,0.026,0.014,37.572025,127.005028
68,2020-11-29 17:00,23,18,0.003,0.4,0.030,0.013,37.572025,127.005028
69,2020-11-29 16:00,30,21,0.003,0.4,0.029,0.012,37.572025,127.005028
70,2020-11-29 15:00,29,18,0.003,0.4,0.028,0.013,37.572025,127.005028
71,2020-11-29 14:00,31,19,0.004,0.4,0.025,0.015,37.572025,127.005028
72,2020-11-29 13:00,28,16,0.005,0.5,0.023,0.014,37.572025,127.005028
73,2020-11-29 12:00,29,17,0.003,0.4,0.022,0.015,37.572025,127.005028
74,2020-11-29 11:00,27,13,0.003,0.4,0.019,0.019,37.572025,127.005028
75,2020-11-29 10:00,29,16,0.004,0.5,0.017,0.021,37.572025,127.005028
76,2020-11-29 09:00,31,16,0.004,0.4,0.014,0.022,37.572025,127.005028
