,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-02 13:00,40,19,0.003,0.5,0.018,0.027,37.564639,126.975961
1,2020-12-02 12:00,45,24,0.004,0.6,0.011,0.036,37.564639,126.975961
2,2020-12-02 11:00,57,29,0.004,0.7,0.006,0.044,37.564639,126.975961
3,2020-12-02 10:00,52,25,0.004,0.8,0.004,0.045,37.564639,126.975961
4,2020-12-02 09:00,46,21,0.003,0.8,0.004,0.044,37.564639,126.975961
5,2020-12-02 08:00,40,20,0.003,0.6,0.003,0.041,37.564639,126.975961
6,2020-12-02 07:00,42,20,0.004,0.6,0.008,0.033,37.564639,126.975961
7,2020-12-02 06:00,40,20,0.004,0.5,0.010,0.029,37.564639,126.975961
8,2020-12-02 05:00,35,18,0.003,0.5,0.009,0.031,37.564639,126.975961
9,2020-12-02 04:00,36,19,0.003,0.5,0.013,0.026,37.564639,126.975961
10,2020-12-02 03:00,39,18,0.003,0.5,0.008,0.034,37.564639,126.975961
11,2020-12-02 02:00,38,19,0.003,0.5,0.009,0.034,37.564639,126.975961
12,2020-12-02 01:00,38,20,0.004,0.5,0.011,0.031,37.564639,126.975961
13,2020-12-01 24:00,39,20,0.003,0.5,0.013,0.030,37.564639,126.975961
14,2020-12-01 23:00,39,22,0.003,0.6,0.003,0.047,37.564639,126.975961
15,2020-12-01 22:00,38,20,0.003,0.5,0.008,0.040,37.564639,126.975961
16,2020-12-01 21:00,38,22,0.003,0.5,0.011,0.036,37.564639,126.975961
17,2020-12-01 20:00,35,19,0.004,0.4,0.019,0.025,37.564639,126.975961
18,2020-12-01 19:00,35,20,0.004,0.5,0.021,0.022,37.564639,126.975961
19,2020-12-01 18:00,30,17,0.003,0.4,0.018,0.026,37.564639,126.975961
20,2020-12-01 17:00,23,12,0.003,0.4,0.022,0.022,37.564639,126.975961
21,2020-12-01 16:00,21,10,0.002,0.3,0.027,0.017,37.564639,126.975961
22,2020-12-01 15:00,35,21,0.003,0.4,0.029,0.017,37.564639,126.975961
23,2020-12-01 14:00,32,19,0.003,0.4,0.022,0.022,37.564639,126.975961
24,2020-12-01 13:00,33,15,0.003,0.4,0.019,0.025,37.564639,126.975961
25,2020-12-01 12:00,34,19,0.004,0.6,0.014,0.034,37.564639,126.975961
26,2020-12-01 11:00,45,26,0.004,0.6,0.015,0.031,37.564639,126.975961
27,2020-12-01 10:00,47,23,0.004,0.7,0.009,0.041,37.564639,126.975961
28,2020-12-01 09:00,45,21,0.004,0.7,0.005,0.044,37.564639,126.975961
29,2020-12-01 08:00,43,21,0.003,0.6,0.003,0.043,37.564639,126.975961
30,2020-12-01 07:00,46,21,0.003,0.5,0.003,0.040,37.564639,126.975961
31,2020-12-01 06:00,36,17,0.003,0.5,0.007,0.035,37.564639,126.975961
32,2020-12-01 05:00,36,18,0.003,0.5,0.017,0.022,37.564639,126.975961
33,2020-12-01 04:00,34,17,0.003,0.5,0.023,0.015,37.564639,126.975961
34,2020-12-01 03:00,36,19,0.003,0.4,0.026,0.013,37.564639,126.975961
35,2020-12-01 02:00,42,24,0.003,0.5,0.024,0.015,37.564639,126.975961
36,2020-12-01 01:00,50,26,0.003,0.6,0.017,0.024,37.564639,126.975961
37,2020-11-30 24:00,45,24,0.003,0.6,0.016,0.026,37.564639,126.975961
38,2020-11-30 23:00,46,24,0.004,0.5,0.026,0.015,37.564639,126.975961
39,2020-11-30 22:00,46,25,0.003,0.5,0.021,0.022,37.564639,126.975961
40,2020-11-30 21:00,46,26,0.004,0.6,0.013,0.033,37.564639,126.975961
41,2020-11-30 20:00,41,23,0.003,0.5,0.011,0.036,37.564639,126.975961
