,³¯Â¥,PM10,PM2.5,SO2,CO,O3,NO2,XÁÂÇ¥,YÁÂÇ¥
0,2020-12-26 02:00:00,28,14,0.003,0.8,0.002,0.050,37.584953,127.094283
1,2020-12-26 01:00:00,29,15,0.003,0.8,0.002,0.048,37.584953,127.094283
2,,27,14,0.004,0.8,0.002,0.050,37.584953,127.094283
3,2020-12-25 23:00:00,31,15,0.004,0.9,0.002,0.052,37.584953,127.094283
4,2020-12-25 22:00:00,26,12,0.004,0.7,0.004,0.049,37.584953,127.094283
5,2020-12-25 21:00:00,29,13,0.003,0.6,0.008,0.039,37.584953,127.094283
6,2020-12-25 20:00:00,30,13,0.004,0.6,0.007,0.043,37.584953,127.094283
7,2020-12-25 19:00:00,30,13,0.004,0.5,0.012,0.037,37.584953,127.094283
8,2020-12-25 18:00:00,25,11,0.003,0.5,0.021,0.026,37.584953,127.094283
9,2020-12-25 17:00:00,21,10,0.004,0.4,0.027,0.016,37.584953,127.094283
10,2020-12-25 16:00:00,23,8,0.003,0.4,0.029,0.013,37.584953,127.094283
11,2020-12-25 15:00:00,23,11,0.003,0.4,0.028,0.015,37.584953,127.094283
12,2020-12-25 14:00:00,26,11,0.004,0.4,0.027,0.016,37.584953,127.094283
13,2020-12-25 13:00:00,29,11,0.004,0.4,0.024,0.019,37.584953,127.094283
14,2020-12-25 12:00:00,27,12,0.004,0.4,0.024,0.019,37.584953,127.094283
15,2020-12-25 11:00:00,29,12,0.004,0.5,0.015,0.031,37.584953,127.094283
16,2020-12-25 10:00:00,26,12,0.005,0.5,0.014,0.030,37.584953,127.094283
17,2020-12-25 09:00:00,25,17,0.004,0.6,0.013,0.032,37.584953,127.094283
18,2020-12-25 08:00:00,26,15,0.004,0.5,0.015,0.026,37.584953,127.094283
19,2020-12-25 07:00:00,27,15,0.005,0.5,0.022,0.018,37.584953,127.094283
20,2020-12-25 06:00:00,27,15,0.005,0.5,0.022,0.019,37.584953,127.094283
21,2020-12-25 05:00:00,27,13,0.004,0.5,0.023,0.017,37.584953,127.094283
22,2020-12-25 04:00:00,25,14,0.004,0.5,0.024,0.018,37.584953,127.094283
23,2020-12-25 03:00:00,23,13,0.004,0.5,0.025,0.017,37.584953,127.094283
24,2020-12-25 02:00:00,23,12,0.004,0.4,0.026,0.015,37.584953,127.094283
25,2020-12-25 01:00:00,22,15,0.004,0.5,0.022,0.021,37.584953,127.094283
26,,21,11,0.004,0.5,0.023,0.020,37.584953,127.094283
27,2020-12-24 23:00:00,21,12,0.004,0.5,0.022,0.021,37.584953,127.094283
28,2020-12-24 22:00:00,20,10,0.003,0.4,0.018,0.027,37.584953,127.094283
29,2020-12-24 21:00:00,20,12,0.003,0.4,0.017,0.030,37.584953,127.094283
