,0
['23.0'],18
['29.0'],18
['24.0'],16
['13.0'],10
['16.5'],10
['17.0'],10
['19.0'],10
['7.0'],10
['15.0'],10
['34.0'],18
['19.0'],16
['24.0'],10
['20.0'],10
['27.0'],18
['34.0'],24
['7.0'],10
['7.0'],10
['13.0'],10
['19.0'],10
['7.0'],10
['13.0'],10
['12.0'],10
['13.0'],10
['87.0'],24
['3.5'],10
['18.3'],16
['4.0'],10
['15.0'],10
['31.0'],16
['9.5'],10
['26.0'],16
['12.0'],10
['18.0'],10
['21.7'],16
['9.0'],10
['15.7'],10
['8.0'],10
['15.0'],10
['15.0'],10
['24.0'],10
['18.0'],10
['15.0'],16
['17.7'],16
['7.0'],10
['20.7'],18
['5.0'],10
['18.0'],10
['5.0'],10
['9.0'],10
['16.5'],10
['19.0'],10
['4.0'],10
['20.0'],10
['27.0'],16
['9.0'],10
['1.0'],10
['3.0'],10
['17.0'],10
['23.3'],18
['5.0'],10
['15.0'],10
['8.0'],10
['13.0'],10
['43.0'],18
['18.0'],16
['20.0'],16
['8.0'],10
['46.0'],18
['10.0'],10
['22.0'],10
['7.5'],10
['10.5'],10
['23.0'],10
['20.0'],10
['3.0'],10
['10.0'],10
['23.0'],10
['15.0'],10
['26.0'],16
['29.0'],18
['10.0'],10
['18.0'],16
['1.0'],10
['18.0'],10
['17.7'],16
['18.0'],16
['11.3'],10
['4.0'],10
['16.0'],10
['18.0'],10
['12.5'],10
['56.0'],24
['38.0'],16
['16.5'],10
['46.0'],24
['23.0'],10
['19.7'],10
['15.0'],10
['2.0'],10
['12.0'],10
['29.0'],10
['9.0'],10
['7.0'],10
['18.5'],10
['43.0'],18
['18.7'],10
['26.0'],10
['17.0'],10
['35.0'],18
['5.0'],10
['13.7'],10
['5.0'],10
['7.0'],10
['18.0'],10
['21.0'],16
['10.0'],10
['21.0'],10
['24.0'],16
['5.0'],10
['17.0'],10
['22.7'],18
['29.5'],16
['5.0'],10
['14.5'],10
['2.0'],10
['24.3'],16
['17.0'],16
['6.0'],10
['4.0'],10
['19.0'],10
['14.0'],10
['5.0'],10
['13.3'],10
['10.0'],10
['30.7'],18
['13.0'],10
['15.0'],10
['21.0'],10
['22.5'],16
['19.0'],16
['3.0'],10
['17.7'],10
['11.0'],10
['20.0'],16
['10.0'],10
['27.5'],16
['14.0'],10
['9.0'],10
['8.0'],10
['5.0'],10
['7.5'],10
['28.0'],16
['11.7'],10
['12.0'],10
['23.0'],10
['7.0'],10
['31.0'],18
['17.0'],10
['18.0'],10
['20.0'],10
['21.0'],16
['7.0'],10
['14.3'],10
['4.0'],10
['34.0'],18
['26.7'],10
['2.0'],10
['13.0'],10
['4.0'],10
['52.0'],24
['31.0'],18
['11.3'],10
['18.0'],10
['8.0'],10
['4.0'],10
['20.0'],10
['14.0'],10
['21.0'],10
['3.0'],10
['7.0'],10
['18.0'],10
['17.0'],10
['18.0'],10
['63.0'],24
['14.0'],10
['44.7'],24
['25.0'],10
['61.0'],24
['9.0'],10
['24.0'],18
['16.0'],10
['14.5'],10
['15.0'],10
['20.0'],10
['1.0'],10
['14.0'],10
['19.0'],10
['19.0'],10
['23.0'],10
['7.0'],10
['31.0'],18
['2.0'],10
['15.0'],10
['3.0'],10
['21.0'],10
['25.0'],18
['47.0'],18
['19.0'],10
['24.0'],16
['14.0'],10
['14.0'],10
['22.3'],18
['31.5'],16
['20.0'],16
['7.0'],10
['6.0'],10
['11.0'],10
['24.0'],10
['10.0'],10
['3.0'],10
['5.0'],10
['16.0'],16
['5.0'],10
['26.0'],16
['19.0'],16
['67.0'],24
['29.0'],16
['15.0'],10
['33.0'],18
['27.0'],10
['5.0'],10
['37.0'],16
['16.0'],10
['30.3'],18
['8.0'],10
['6.0'],10
['8.0'],10
['14.0'],10
['9.0'],10
['24.7'],18
['33.0'],18
['7.0'],10
['5.0'],10
['9.0'],10
['12.0'],10
['9.0'],10
['13.0'],10
['18.0'],16
['7.5'],10
['12.0'],10
['20.0'],10
['42.0'],18
['19.0'],16
['25.0'],16
['8.0'],10
['4.0'],10
['22.0'],16
['45.0'],18
['13.0'],10
['18.0'],10
['20.0'],18
['22.0'],18
['8.0'],10
['18.0'],10
['16.0'],10
['18.0'],16
['7.0'],10
['11.0'],10
['8.0'],10
['17.0'],10
['24.7'],18
['20.0'],10
['24.0'],10
['9.0'],10
['11.0'],10
['38.0'],16
['29.7'],18
['17.7'],16
['35.0'],16
['14.0'],10
['15.0'],10
['30.0'],18
['38.0'],18
['17.0'],10
['15.0'],16
['38.0'],18
['20.0'],10
['12.0'],10
['13.5'],10
['11.0'],10
['20.0'],16
['8.0'],10
['42.0'],18
['16.0'],10
['8.0'],10
['11.0'],10
['42.7'],24
['11.0'],10
['23.0'],10
['29.5'],16
['22.0'],16
['19.0'],10
['5.0'],10
['19.0'],10
['11.0'],10
['11.0'],10
['35.0'],16
['10.0'],10
['15.0'],10
['15.0'],10
['17.0'],10
['33.0'],18
['15.0'],10
['14.0'],10
['17.0'],10
['12.0'],10
['13.0'],10
['33.0'],16
['40.0'],16
['12.5'],10
['27.0'],10
['19.0'],10
['32.0'],18
['17.5'],10
['16.0'],10
['16.0'],10
['19.0'],10
['22.0'],16
['17.0'],16
['38.7'],24
['53.0'],24
['3.0'],10
['20.0'],16
['10.0'],10
['14.0'],10
['8.0'],10
['33.3'],18
['4.0'],10
['10.0'],10
['18.7'],10
['21.0'],10
['12.0'],10
['12.5'],10
['5.0'],10
['13.0'],10
['2.0'],10
['8.0'],10
['15.0'],10
['13.0'],10
['15.0'],10
['22.7'],10
['22.0'],18
['6.0'],10
['21.0'],10
['9.0'],10
['14.0'],10
['14.0'],10
['5.0'],10
['22.0'],16
['6.0'],10
['13.7'],10
['2.0'],10
['21.0'],16
['10.0'],10
['5.0'],10
['42.0'],18
['3.0'],10
['14.7'],10
['7.0'],10
['3.5'],10
['20.5'],10
['6.0'],10
['10.0'],10
['19.0'],16
['16.0'],10
['35.0'],18
['14.0'],10
['28.0'],18
['2.0'],10
['20.0'],10
['23.0'],16
['7.0'],10
['10.0'],10
['19.0'],16
['23.0'],10
['5.0'],10
['18.0'],10
['17.0'],10
['3.0'],10
['2.0'],10
['18.0'],10
['16.5'],10
['9.0'],10
['10.0'],10
['31.0'],16
['29.5'],16
['10.0'],10
['19.0'],10
['13.0'],10
['2.0'],10
['8.5'],10
['14.5'],10
['3.0'],10
['18.0'],16
['8.0'],10
['17.0'],10
['11.0'],10
['2.0'],10
['7.5'],10
['16.0'],10
['39.0'],16
['12.0'],10
['15.0'],10
['12.0'],10
['70.0'],24
['13.7'],10
['16.0'],10
['14.5'],10
['1.0'],10
['2.0'],10
['5.0'],10
['21.0'],16
['8.0'],10
['8.5'],10
['16.0'],10
['3.0'],10
['2.0'],10
['20.0'],10
['19.0'],10
['26.0'],10
['35.7'],18
['3.0'],10
['17.0'],10
['17.3'],16
['18.0'],10
['17.7'],16
['15.0'],10
['41.5'],18
['21.0'],10
['22.0'],16
['25.0'],16
['17.7'],10
['20.0'],10
['27.0'],18
['4.0'],10
['33.0'],16
['27.7'],18
['3.0'],10
['9.0'],10
['27.3'],16
['19.0'],10
['10.0'],10
['27.0'],16
['9.0'],10
['51.0'],24
['19.0'],10
['9.0'],10
['8.0'],10
['11.0'],10
['29.3'],18
['1.0'],10
['26.0'],18
['21.0'],10
['25.0'],16
['8.0'],10
['2.0'],10
['5.0'],10
['21.0'],16
['2.0'],10
['2.0'],10
['34.0'],18
['12.5'],10
['28.0'],16
['2.0'],10
['21.0'],10
['40.0'],18
['11.0'],10
['5.0'],10
['21.0'],16
['19.0'],10
['5.0'],10
['21.7'],16
['13.0'],10
['23.0'],16
['3.0'],10
['14.0'],10
['18.0'],10
['34.0'],16
['17.7'],10
['27.0'],18
['12.0'],10
['21.0'],10
['29.0'],16
['17.7'],10
['6.0'],10
['23.3'],10
['61.0'],24
['7.0'],10
['14.0'],10
['9.5'],10
['4.0'],10
['21.3'],16
['45.0'],18
['18.0'],10
['12.0'],10
['32.0'],10
['9.0'],10
['7.0'],10
['7.0'],10
['16.0'],10
['6.0'],10
['23.0'],16
['26.0'],18
['12.0'],10
['40.0'],16
['3.0'],10
['17.0'],10
['50.0'],24
['11.0'],10
['16.0'],10
['20.0'],10
['27.0'],18
['20.0'],16
['19.0'],10
['6.0'],10
['11.0'],10
['8.0'],10
['17.0'],10
['7.0'],10
['34.0'],18
['43.3'],18
['8.0'],10
['14.0'],10
['10.5'],10
['7.0'],10
['32.5'],18
['11.0'],10
['7.0'],10
['64.0'],24
['6.0'],10
['26.0'],16
['11.0'],10
['12.0'],10
['20.0'],10
['36.0'],18
['37.0'],18
['5.0'],10
['20.0'],16
['15.0'],10
['18.0'],10
['24.0'],16
['23.3'],18
['35.0'],18
['18.0'],10
['12.0'],10
['9.0'],10
['37.0'],18
['31.5'],16
['9.0'],10
['7.0'],10
['15.0'],10
['19.0'],10
['26.0'],16
['12.0'],10
['12.0'],10
['17.0'],10
['18.0'],10
['31.7'],18
['23.0'],10
['14.0'],10
['25.0'],16
['15.0'],10
['23.0'],16
['10.0'],10
['1.0'],10
['17.0'],10
['41.0'],18
['14.0'],10
['11.0'],10
['7.0'],10
['6.0'],10
['46.7'],24
['21.0'],10
['30.0'],16
['20.7'],10
['44.0'],24
['30.0'],16
['24.3'],18
['1.0'],10
['28.0'],18
['11.0'],10
['9.0'],10
['33.0'],18
['22.0'],10
['22.0'],10
['23.0'],10
['30.3'],18
['60.0'],24
['25.0'],16
['30.0'],16
['22.0'],16
['3.0'],10
['21.0'],10
['70.0'],24
['35.0'],16
['15.3'],10
['37.0'],16
['35.5'],18
['20.0'],16
['16.0'],16
['15.0'],10
['3.0'],10
['34.0'],24
['37.0'],18
['38.7'],18
['10.0'],10
['1.0'],10
['15.0'],10
['24.0'],16
['79.0'],24
['22.5'],16
['25.0'],10
['5.0'],10
['41.0'],18
['23.0'],10
['13.3'],10
['18.5'],10
['4.0'],10
['24.0'],16
['14.0'],10
['33.0'],18
['16.0'],10
['15.0'],10
['5.0'],10
['26.3'],16
['9.0'],10
['9.0'],10
['15.0'],10
['17.0'],10
['19.0'],10
['21.0'],16
['10.0'],10
['12.0'],10
['13.0'],10
['12.5'],10
['30.0'],16
['26.0'],16
['16.5'],10
['9.0'],10
['23.3'],16
['34.0'],18
['37.0'],18
['18.0'],10
['18.0'],10
['21.0'],10
['13.5'],10
['5.0'],10
['6.0'],10
['21.0'],16
['22.7'],16
['26.0'],18
['13.0'],16
['35.0'],16
['19.0'],10
['24.0'],10
['19.0'],10
['7.0'],10
['23.3'],18
['6.0'],10
['2.0'],10
['7.0'],10
['28.0'],16
['28.0'],10
['18.0'],10
['18.0'],10
['33.0'],16
['21.0'],10
['16.0'],10
['16.7'],10
['36.5'],18
['23.0'],16
['18.0'],10
['28.0'],18
['40.0'],16
['24.0'],16
['33.0'],18
['37.0'],16
['8.0'],10
['11.0'],10
['9.0'],10
['2.0'],10
['38.5'],18
['6.0'],10
['55.0'],24
['8.0'],10
['41.5'],18
['7.0'],10
['11.0'],10
['19.0'],16
['5.0'],10
['38.0'],18
['65.0'],24
['16.0'],16
['12.0'],10
['9.0'],10
['19.0'],16
['3.0'],10
['21.3'],10
['30.0'],16
['4.0'],10
['40.0'],16
['50.0'],24
['5.0'],10
['43.0'],18
['6.0'],10
['15.0'],10
['10.5'],10
['13.0'],10
['20.0'],18
['46.3'],24
['20.0'],10
['6.0'],10
['5.0'],10
['14.0'],10
['7.0'],10
['4.0'],10
['7.5'],10
['37.0'],18
['19.0'],10
['24.0'],16
['12.0'],10
['11.0'],10
['15.0'],10
['19.0'],10
['10.0'],10
['24.0'],16
['2.0'],10
['27.0'],18
['8.0'],10
['15.0'],10
['17.0'],10
['27.3'],10
['10.0'],10
['15.0'],10
['5.0'],10
['16.0'],10
['29.0'],16
['2.0'],10
['36.0'],18
['24.0'],18
['7.0'],10
['19.0'],10
['27.0'],10
['17.0'],10
['16.0'],10
['12.0'],10
['64.0'],24
['34.5'],16
['13.5'],10
['27.0'],16
['8.3'],10
['16.0'],10
['31.5'],16
['16.0'],10
['51.0'],24
['9.0'],10
['21.0'],10
['12.0'],10
['77.0'],24
['19.3'],10
['18.0'],16
['14.0'],10
['16.0'],10
['2.0'],10
['16.0'],10
['8.0'],10
['6.5'],10
['27.0'],16
['49.7'],24
['19.3'],16
['24.0'],18
['12.5'],10
['22.3'],18
['20.0'],10
['11.0'],10
['22.0'],16
['5.0'],10
['16.0'],10
['6.0'],10
['27.0'],16
['33.0'],18
['18.7'],10
['19.0'],10
['18.0'],10
['26.0'],16
['30.0'],16
['14.0'],16
['7.0'],10
['23.0'],10
['7.0'],10
['5.0'],10
['26.0'],10
['22.7'],16
['2.0'],10
['27.0'],16
['8.0'],10
['41.7'],24
['2.0'],10
['22.0'],16
['40.0'],18
['8.5'],10
['7.0'],10
['13.0'],10
['22.0'],16
['37.0'],18
['24.0'],16
['8.0'],10
['22.0'],18
['15.0'],10
['11.5'],10
['27.0'],16
['24.0'],10
['24.0'],10
['28.0'],10
['23.0'],16
['71.0'],24
['35.0'],18
['9.0'],10
['11.0'],10
['15.0'],10
['14.0'],10
['29.0'],16
['73.0'],24
['72.0'],24
['4.0'],10
['19.0'],10
['11.0'],10
['22.0'],16
['35.0'],18
['26.3'],16
['13.0'],10
['41.0'],18
['6.0'],10
['22.0'],16
['11.5'],10
['19.0'],10
['7.0'],10
['16.0'],10
['4.0'],10
['45.0'],24
['16.0'],10
['31.0'],16
['13.0'],10
['1.0'],10
['2.0'],10
['18.0'],16
['23.0'],16
['1.0'],10
['18.0'],10
['13.0'],10
['42.0'],18
['25.5'],16
['14.0'],16
['7.0'],10
['9.0'],10
['16.0'],10
['17.0'],10
['23.0'],16
['12.0'],10
['7.0'],10
['9.0'],10
['28.0'],16
['5.0'],10
['22.0'],10
['18.0'],16
['22.0'],10
['10.5'],10
['11.0'],10
['16.0'],10
['9.0'],10
['10.0'],10
['10.5'],10
['22.0'],10
['13.5'],10
['7.0'],10
['42.0'],18
['31.0'],16
['7.0'],10
['14.0'],10
['25.0'],16
['8.0'],10
['9.0'],10
['6.0'],10
['12.0'],10
['11.0'],10
['5.0'],10
['2.0'],10
['5.0'],10
['40.0'],18
['14.0'],10
['14.5'],10
['18.0'],10
['25.0'],16
['11.0'],10
['3.0'],10
['14.0'],10
['30.0'],16
['7.5'],10
['17.0'],16
['19.0'],16
['3.0'],10
['13.0'],10
['9.0'],10
['5.5'],10
['13.0'],16
['28.0'],16
['20.3'],16
['9.0'],10
['20.0'],10
['7.0'],10
['10.0'],10
['25.0'],16
['28.0'],16
['19.0'],10
['15.0'],10
['6.0'],10
['21.0'],16
['10.0'],10
['11.0'],10
['27.0'],10
['13.0'],10
['47.0'],24
['10.0'],10
['3.5'],10
['6.0'],10
['2.0'],10
['20.0'],16
['18.0'],10
['10.0'],10
['15.0'],10
['8.5'],10
['33.0'],18
['21.0'],16
['10.5'],10
['13.0'],10
['11.0'],10
['19.0'],16
['5.0'],10
['17.0'],18
['18.0'],10
['69.0'],24
['8.0'],10
['30.0'],16
['14.0'],10
['17.7'],10
['22.0'],10
['20.0'],16
['32.0'],10
['79.0'],24
['20.0'],10
['11.0'],10
['4.0'],10
['35.0'],18
['9.0'],10
['10.0'],10
['8.0'],10
['14.0'],10
['45.7'],24
['24.3'],18
